AI_not_Intelligent,AI_had_no_pattern,AI_Mirror_or_copy_moves_or_Controlled_by_participant,Did_not_pay_attention_or_Focused_on_own_movement,Vague,Positive,Negative
,,5f1dea279f4818757f07f087 - BlackD,,,5fe3506fea17f87af95bc11c - BlackD,
,,5f6f864c7120345241397c40 - WhiteD,,,5f0499756b5d4972f0da9c78 - WhiteD,
,,5fd6893ef3900d5bfae2e270 - WhiteD,,,5eaf1a2c649fd108284c2b5f - WhiteD,
,,57e91ff08dcd2c00014bea18 - BlackD,,,58cbd0a55d42920001414dd3 - WhiteD ,
,,5ec34daa8236521a70e0a4d7 - BlackD,,,5ebe0901a63a9015b07862a4 - BlackD,
,,5fd65c6daa6f6454c636c77d - WhiteD,,,5f9ba927f248da3d79fee3e6 - BlackD,
,,5e8a10fdb4921a6a6ee61d88 - WhiteD,,,5fe344b5f4e233fa96dd6d59 - BlackD,
,,5eea37e8c103e50a98a68d82 - WhiteD,,,5b1045e0096bf10001e36900 - BlackD,
,,5d3cfeabbaf11000151ed4cd - WhiteD,,,5dd85584e2dcbd80078ad6a3 - BlackD,
,,6047ce1fc717c2078388a26c - WhiteD,,,5f930b70b1d0300846750449 - WhiteD,
,,5df5bd13dd997b414b3fd5e1 - BlackD,,,55cd909c34e906000a8d1e1e - WhiteD,
,,,,,5f3552b410397d4d7b47c5be - WhiteD,
,,,,,59a1de0cec2f75000124eeaf - BlackD,
,,,,,5f504fd2cc049d1cbf29c40d - BlackD,
,,,,,5e97a2d74cb72e263342ecc9 - WhiteD,
,,,,,5fd67cce91f9895969c0edee - BlackD,
,,,,,5fa06c88d51d970a4fe2cb34 - WhiteD,
,,,,,5e65881bbd503a3160fc0394 - WhiteD,
,,,,,5b66ce776f0d0400010d678d - WhiteD,
,,,,,5edd13e3858a15a07241964b - BlackD,
,,,,,5d88db42c1d06e001a1fdcab - BlackD,
,,,,,5d9ce1981ecfd60012ccca92 - WhiteD,
,,,,,5a4ae15d6d85f80001c25f65 - WhiteD,
,,,,,5e3c578da8634603b5336c6f - WhiteD,
,,,,,5a198755f2e3460001edc5c9 - WhiteD,
,,,,,5d30dea16f058500017d0d73 - WhiteD,
,,,,,605b3c3e0654b90c9b310e40 - BlackD,
