,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down""]","[1.6583250002004206,2.1094849999062717,3.33987500006333,3.5796699998900294,4.00307000009343,4.289154999889433,5.238790000323206,5.587430000305176,6.089889999944717]",25,20,captured pig,3,0,3,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
4,"[""left"",""left"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right""]","[1.1974300001747906,1.6635099998675287,2.4558450002223253,2.7394349998794496,3.0104900002479553,5.829524999950081,6.3017000001855195,7.3774350001476705,8.956594999879599,9.52593500027433,10.349880000110716,10.773760000243783,12.455300000030547,14.001999999862164,14.201315000187606,14.466789999976754,14.855785000137985,15.451084999833256,15.949289999902248,16.13298500003293,16.36985500017181]",5,4,Exited through black block,4,0,4,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
5,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down""]","[1.0764000001363456,2.189025000203401,2.6762550002895296,3.147690000012517,3.755480000283569,5.864795000292361,6.567440000362694,7.867700000293553]",25,22,captured pig,5,0,5,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
6,"[""left"",""right"",""right"",""right"",""down"",""down"",""down""]","[2.0384600004181266,2.896970000118017,3.5862750001251698,4.082090000156313,4.707045000046492,5.164625000208616,5.455990000162274]",25,40,captured pig,6,0,6,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
8,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.465760000050068,1.8946850001811981,2.425870000384748,4.315065000206232,4.55466500017792,4.771675000432879,5.8199750003404915,6.0855849999934435,6.991559999994934,7.373605000320822,8.088365000206977,8.563425000291318,8.80621000006795,10.020590000320226,10.887960000429302,11.16910000005737]",25,54,captured pig,8,0,8,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
9,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""down""]","[1.3712300001643598,1.8108000000938773,4.691349999979138,5.157914999872446,5.390769999939948,5.5576849998906255,8.7445800001733,11.175385000184178,11.673814999870956,12.06112500000745,12.664894999936223,13.4744649999775,13.78821500018239,14.500049999915063,14.757329999934882,14.964845000300556,15.169445000123233]",25,64,captured pig,9,0,9,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
10,"[""left"",""left"",""down"",""down"",""down"",""down""]","[1.0528349997475743,1.4627899997867644,1.9613699996843934,2.1775499996729195,2.362634999677539,2.6144399996846914]",25,84,captured pig,10,0,10,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
11,"[""left"",""left"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down""]","[0.9253899999894202,1.348509999923408,5.004809999838471,5.6222149999812245,5.80498499982059,6.005460000131279,7.554089999757707,8.1519749998115,9.08254999993369,10.01551999989897,10.499940000008792,10.920915000140667,11.415955000091344,11.674124999903142,12.124995000194758,12.672389999963343,12.872124999761581,13.088359999936074]",25,92,captured pig,11,0,11,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
12,"[""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.4568449999205768,1.889384999871254,2.3220000001601875,2.5890350001864135,2.7888150000944734,4.167954999953508,4.371234999969602,4.5983799998648465,5.053834999911487,5.790134999901056,5.947614999953657,6.121869999915361,6.285854999907315,6.7703650002367795,6.982100000139326]",25,104,captured pig,12,0,12,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
13,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down""]","[1.6248250002972782,2.023909999988973,2.608235000167042,2.8037150003947318,3.47258000029251,4.1049150000326335,4.305455000139773,4.501970000099391,4.939310000278056,5.203890000004321,5.37917000008747]",25,119,captured pig,13,0,13,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
14,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""left"",""left""]","[2.5695250001735985,3.1162899998016655,3.7525849998928607,3.9862750000320375,4.238640000112355,5.092875000089407,5.282225000206381,6.121925000101328,6.591000000014901,7.181425000075251,7.753229999914765,8.135209999978542,8.327920000068843,8.522714999970049,9.628849999979138,10.236370000056922,10.699364999774843,11.544214999768883,11.975974999833852,12.451745000202209,13.150729999877512,13.347684999927878,13.774825000204146,13.965414999984205,14.153849999886006,18.697614999953657,20.524385000113398,21.025105000007898,22.467484999913722,22.66821500007063]",0,94,No points scored,14,0,14,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1353837317186025052,6296037013259246875,60
