,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[2.48292500001844,2.9200199999613687,3.46820999996271,3.703925000037998,4.419215000001714,5.271270000026561,6.984214999945834,8.12500999995973,8.602414999972098,9.469204999972135,10.368565000011586,11.684099999954924,12.734769999980927,13.386089999927208,14.685919999959879,15.254134999937378]",25,15,captured pig,3,0,3,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
4,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left""]","[4.742654999950901,5.223254999960773,5.65570999996271,6.1348650000290945,7.02031499997247,8.034985000034794,8.791904999990948,9.641840000054799,10.052630000049248,10.636474999948405,11.704260000027716,12.219240000005811]",25,30,captured pig,4,0,4,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
5,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""left"",""left""]","[3.9670300000580028,4.561500000068918,4.915515000000596,5.210605000029318,7.200695000006817,7.610665000043809,8.88186000008136,9.4275899999775,10.99496999999974]",25,46,captured pig,5,0,5,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
6,"[""right"",""right"",""down"",""left"",""left"",""left"",""left""]","[2.7007549999980256,3.4156599999405444,3.737790000042878,4.611120000015944,5.213924999930896,5.753629999933764,6.083495000028051]",25,65,captured pig,6,0,6,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
8,"[""left"",""left"",""down"",""down"",""down""]","[3.8703600000590086,4.251420000102371,5.084140000049956,5.317310000071302,5.636300000012852]",25,83,captured pig,8,0,8,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
9,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down""]","[1.7707300001056865,2.3686850001104176,2.606525000068359,2.933850000030361,3.4688250001054257,3.95304000005126,4.305690000066534,4.653430000063963,7.307570000062697,8.101610000012442]",25,103,captured pig,9,0,9,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
10,"[""left"",""left"",""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right""]","[1.8359300000593066,2.214434999972582,2.4711649999953806,2.7516349999932572,3.219509999966249,5.150209999992512,6.852539999992587,14.201785000041127,15.05264500004705,15.872124999994412,16.247940000030212,16.48355000000447,16.952069999999367,18.76714999997057,19.869880000012927,20.47128000005614,20.865375000052154,24.01712500001304,24.20779500005301,24.434355000033975,24.737350000068545,24.96654000005219,33.137439999962226,33.63894500001334,34.959484999999404,35.39893500006292,36.05133499996737,36.61556000006385,36.96854000003077]",0,78,No points scored,10,0,10,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
11,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left""]","[2.522965000011027,2.958375000045635,3.339835000107996,5.014675000100397,11.949580000014976,14.541965000098571,14.910340000060387,19.211545000085607,20.12604000000283,20.50844500004314]",25,94,captured pig,11,0,11,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
12,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""up""]","[2.2018950000638142,2.606150000006892,3.139670000062324,4.533555000089109,4.9853750000474975,5.542905000038445,5.934974999981932,7.183695000014268,9.767334999982268,15.404470000066794,18.504970000009052,18.816790000069886,19.949985000072047,20.27179500006605,20.760989999980666,21.186080000014044,21.42048000008799,21.654880000045523,21.886385000078008,22.403954999987036]",25,102,captured pig,12,0,12,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
13,"[""left"",""left"",""down"",""down"",""down""]","[3.014424999943003,3.2796849999576807,5.363610000000335,5.687139999936335,6.149144999915734]",25,122,captured pig,13,0,13,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
14,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""left"",""left"",""right"",""right"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""left"",""left""]","[4.89053000009153,5.3192699999781325,5.73444999998901,8.174089999985881,8.532650000066496,9.257515000062995,9.606744999997318,9.856670000008307,11.619324999977835,12.02249500004109,12.25082499999553,13.067075000028126,13.53913500008639,13.784915000083856,15.386230000061914,17.104495000094175,18.554310000035912,19.021115000010468,19.57440000004135,20.50529500003904,20.753135000006296,20.995564999990165,25.185430000070482,26.24119500000961,26.68749000004027,26.91760000004433]",0,97,No points scored,14,0,14,0,1,5006595744344965540,,SymbolicViewB,2020.1.3,Win32,394909725917577638,4393066143588174165,60
