,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""left""]","[1.1600849999813363,1.3975199999986216,1.7829499999934342]",25,22,captured pig,3,0,3,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
4,"[""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""up"",""right"",""right"",""right"",""left"",""down"",""up"",""up"",""up""]","[0.41136500000720844,0.5630700000037905,0.7301150000130292,1.0500400000019,1.5710200000030454,1.8630150000099093,2.4949950000154786,2.8498400000098627,3.039004999998724,3.210980000003474,3.3967150000098627,3.7266400000080466,3.9429950000194367,4.225215000013122,4.378190000017639,4.819440000021132,5.393949999997858,5.937930000014603,6.094390000012936,6.485985000006622]",25,28,captured pig,4,0,4,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
5,"[""left"",""left"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""down""]","[0.5578800000075717,0.69567499999539,1.0293850000016391,1.197439999989001,1.3853499999968335,1.6573949999874458,2.182614999997895,2.489354999997886,2.8145300000032876,3.13367000001017,3.2893399999884423,3.5312899999844376,4.058120000001509,4.371699999988778,4.693525000009686,5.434780000010505]",25,38,captured pig,5,0,5,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
6,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""right"",""right"",""right""]","[0.49741999999969266,0.6705199999851175,1.5700650000071619,1.9472749999840744,2.2234799999860115,2.869284999993397,3.2191600000078324,3.5984949999838136,4.223460000008345,4.427200000005541,4.599235000001499,5.039124999981141,5.191124999983003,5.331229999981588,5.752619999984745,6.322379999997793,6.461604999989504,6.603074999991804,6.7594199999875855,7.01652499998454,7.143110000004526,7.291200000006938,12.692290000006324,12.865380000002915,13.025424999999814]",0,13,No points scored,6,0,6,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
8,"[""down"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""up"",""right"",""up"",""right"",""right"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""down"",""left""]","[0.5679850000014994,0.8714299999992363,1.0872249999956694,1.3722399999969639,1.5334149999835063,1.7287749999959487,2.027174999995623,2.1678700000047684,2.299880000005942,2.4389650000084657,2.52397499998915,3.475899999990361,3.739884999988135,3.9530000000086147,4.158139999984996,4.485184999997728,4.7241050000011455,4.883069999981672,5.0426299999817275,5.412645000003977,5.587874999997439,5.739925000001676,5.980884999997215,6.189364999998361,6.247854999994161,6.404944999987492,6.851989999995567]",25,15,captured pig,8,0,8,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
9,"[""left"",""left"",""down"",""down"",""down"",""right"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""down"",""left"",""down"",""left"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""down""]","[0.8577999999979511,1.023285000002943,1.3624150000105146,1.5134350000007544,1.8044450000161305,2.062400000024354,2.278409999998985,2.4302949999982957,2.5864300000248477,2.784060000005411,3.1183750000200234,3.47029000002658,3.6943500000052154,3.8353550000174437,3.974320000008447,4.3897500000020955,4.766335000022082,5.039090000005672,5.18819500002428,5.375380000012228,5.654869999998482,5.789360000024317,5.925405000016326,6.147060000017518,6.278375000023516,6.517310000024736]",0,-10,No points scored,9,0,9,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
10,"[""left"",""left"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""left"",""left"",""down"",""left"",""right"",""right"",""left"",""left"",""left""]","[0.4311650000163354,1.2299050000146963,2.6557749999919906,2.835915000003297,3.2591299999912735,3.559800000017276,3.8608100000128616,4.321564999991097,4.851710000017192,5.359850000008009,5.704584999999497,5.879690000001574,6.039675000007264,6.364889999997104,6.670245000015711,6.844195000012405,7.019384999992326,7.263724999997066,8.075700000015786,8.23464999999851,9.319705000001704,10.828739999997197,11.74984500001301,12.327915000001667,12.5633450000023,12.735905000008643,22.198755000019446]",0,-35,No points scored,10,0,10,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
11,"[""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""right"",""up"",""right"",""up"",""right"",""right"",""up""]","[0.24205000000074506,0.4366149999841582,0.7283799999859184,0.8808849999913946,1.0271150000044145,1.1802850000094622,1.4200899999996182,1.574575000006007,1.7184349999879487,1.8885899999877438,2.416835000010906,2.8496999999915715,3.0104599999904167,3.3664350000035483,3.5663800000038464,4.508330000011483,4.6751599999843165,4.802404999994906,5.062390000006417,5.219065000012051,6.752934999996796,6.99838499998441,7.150434999988647,7.402345000009518,7.770380000001751,8.230504999984987,8.514869999984512]",0,-60,No points scored,11,0,11,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
12,"[""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""down"",""down"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""left"",""left"",""right"",""up"",""up"",""up"",""up"",""right""]","[1.2090499999758322,1.664134999999078,2.0493399999977555,2.1645900000003166,2.3137899999856018,2.664164999994682,2.8577149999910034,3.0240849999827333,3.447089999972377,3.7920199999934994,3.9794849999889266,4.306239999976242,4.473664999997709,4.905879999976605,5.051914999989094,5.227234999998473,5.415139999997336,5.723804999986896,5.8694350000005215,6.015484999981709,6.161509999976261,6.547094999987166,6.698124999995343,7.004235000000335,7.159104999998817,7.303184999997029,7.707159999990836,7.959119999984978,8.20753999997396]",0,-85,No points scored,12,0,12,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
13,"[""left"",""left"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""left""]","[0.5064899999997579,0.6597649999894202,0.7374399999971502,0.8853449999878649,1.160135000012815,1.3219650000100955,1.4732899999944493,1.6413100000063423,1.8007799999904819,1.958970000006957,2.1613950000028126,2.252455000008922,2.4596899999887682,2.5907850000075996,2.705370000010589,2.8433549999899697,3.0457600000081584]",25,-76,captured pig,13,0,13,0,1,-1876605006691101097,,SymbolicViewB,2020.1.3,Win32,-1876605006691101097,-6432301686814730193,60
