,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""down""]","[1.4189150002785027,1.8493500002659857,2.3682699999772012,3.1894150003790855,3.4959300002083182]",25,20,captured pig,3,0,3,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
4,"[""left"",""left"",""down"",""down"",""up"",""right"",""down"",""up"",""up"",""up"",""right"",""right"",""down"",""right"",""right"",""right"",""down"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right""]","[0.7230449998751283,1.0603600000031292,1.6904549999162555,2.0518900002352893,2.7241750000976026,3.03895500022918,3.3767400002107024,3.598784999921918,3.8386599998921156,4.17659500008449,4.4930549999699,4.7384000001475215,5.096954999957234,5.5915850000455976,5.938775000162423,6.165694999974221,6.430560000240803,6.946140000130981,7.156204999890178,7.380179999861866,9.703184999991208,9.920799999963492,10.102644999977201,10.27036500023678,10.436869999859482,12.139365000184625,12.447740000206977]",0,-5,No points scored,4,0,4,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
5,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""up"",""up"",""up""]","[0.9179299999959767,7.505750000011176,7.902170000132173,9.459975000005215,10.68620999995619,11.039454999845475,12.251060000155121,12.870420000050217,13.387734999880195,13.70534999994561,32.07251500012353,33.275245000142604,33.810180000029504,35.071804999839514,35.504139999859035,36.05955999996513,39.234575000125915,39.49293000018224,39.7125300001353,40.10894999979064,40.31497000018135,40.56680000014603,40.845329999923706,41.20577500015497,41.774974999949336,42.02915999991819]",0,-30,No points scored,5,0,5,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
6,"[""left"",""left"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""right"",""up""]","[0.9957699999213219,1.4147900003008544,1.802020000293851,3.1566750002093613,3.371135000139475,3.5680100000463426,3.803155000321567,4.058155000209808,4.286615000106394,4.53542000008747,4.8865149999037385,7.579644999932498,7.841994999907911,8.158735000062734,8.370614999905229,8.638724999967963,8.935965000186116,9.263160000089556,9.488965000025928,9.701905000023544,9.923350000288337,10.598900000099093,10.932810000143945,11.298309999983758,11.883284999988973,12.06586500024423]",0,-55,No points scored,6,0,6,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
8,"[""left"",""left"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up""]","[4.304930000100285,4.604174999985844,5.354154999833554,5.581644999794662,7.486849999986589,8.771824999712408,9.128080000169575,9.415965000167489,9.634184999857098,9.805464999750257,10.976890000049025,11.179895000066608,11.455145000014454,12.76894999993965,13.034634999930859,13.384134999942034,15.217329999897629,15.419259999878705,17.229384999722242,17.417779999785125,17.908084999769926,19.028124999720603,19.432155000045896,20.456664999946952,20.65315999975428]",0,-82,No points scored,8,0,8,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
9,"[""left"",""right"",""right"",""right"",""down"",""left"",""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""right""]","[2.327950000297278,9.705615000333637,10.765980000142008,10.766260000411421,12.102690000087023,17.822120000142604,18.117330000270158,21.232885000295937,24.310905000194907,24.580825000070035,27.963890000246465,28.44131000014022,28.82012500008568,29.08851500041783,29.330295000225306]",5,-92,Exited through black block,9,0,9,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
10,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up""]","[1.8454549997113645,2.1119699999690056,2.882489999756217,3.115464999806136,3.4146499997004867,3.6999749997630715,3.9323899997398257,7.283994999714196,7.920630000066012,8.320594999939203,8.667694999836385,9.138329999987036,11.185294999741018,11.281345000024885,11.474374999757856,11.702149999793619,11.893249999731779,12.24358499981463,12.457334999926388,12.633909999858588,12.815119999926537,12.981815000064671,13.615840000100434,13.929849999956787,14.393995000049472,18.655729999765754]",0,-117,No points scored,10,0,10,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
11,"[""left"",""left"",""left"",""left""]","[3.637984999921173,3.881444999948144,4.627654999960214,4.872080000117421]",25,-96,captured pig,11,0,11,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
12,"[""right"",""right"",""down"",""down"",""down"",""down""]","[1.9490999998524785,2.2328300001099706,2.800329999998212,3.0503349998034537,3.3123599998652935,9.517589999828488]",25,-77,captured pig,12,0,12,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
13,"[""left"",""left"",""left"",""left""]","[3.254420000128448,3.4681449998170137,3.693589999806136,3.8869599997997284]",25,-56,captured pig,13,0,13,0,1,6345834825561531495,,SymbolicViewB,2020.1.3,Win32,1734148807134143593,-4480146080971959750,60
