,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""right"",""right"",""right"",""up""]","[1.04565499999444,5.757874999995693,6.416595000002417,7.136494999998831,7.316384999998263,7.522995000006631,13.318350000001374,13.55487500000163,15.355674999998882,15.63956500000495,15.88036500000453,16.05550499999663,16.73518000000331,17.554355000000214,19.277724999992643,19.916280000004917,20.315474999995786,21.01669000000402,21.45589500000642]",25,8,captured pig,3,0,3,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
4,"[""left"",""left"",""down"",""down"",""down"",""left""]","[1.584434999997029,2.0002649999951245,2.463980000000447,2.807569999989937,3.3858999999938533,3.7657449999969685]",25,27,captured pig,4,0,4,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
5,"[""left"",""left"",""left"",""down"",""right"",""right"",""right"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""left"",""left"",""left""]","[0.6479100000142353,1.4195400000025984,1.7598350000043865,1.8810950000042794,2.3596250000118744,2.5420500000036554,2.7955200000142213,2.96240500001295,3.513810000004014,3.699865000002319,3.9740250000031665,4.194385000009788,4.3819450000009965,4.599975000004633,4.916725000002771,5.07785000000149,5.353330000012647,7.019140000003972,7.303185000011581,7.937785000001895,8.071535000010044,8.470930000010412,8.750865000009071,8.990285000007134]",25,31,captured pig,5,0,5,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
6,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""down""]","[1.9239349999988917,2.082849999991595,3.1184249999932945,3.2816249999887077,3.425409999996191,3.840539999990142,3.98938499999349,4.184124999999767,5.22515499999281,5.482420000000275,5.845639999999548,6.3262349999859,6.489679999998771,6.64569499999925,9.341594999990775,9.798539999988861,14.746894999989308,16.182119999997667,16.999559999996563,17.26388999998744,19.37935999999172,19.577104999989388,19.7830549999926,20.143935000000056,21.845464999991236,22.577419999986887,23.38319499998761]",0,6,No points scored,6,0,6,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
8,"[""right"",""right"",""right"",""down"",""down"",""down"",""left"",""down"",""right"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left""]","[0.8183649999991758,1.0187200000073062,1.2015649999957532,1.4594000000070082,1.5986549999943236,1.7822900000028312,2.357285000005504,2.6398349999944912,2.877699999997276,3.217400000008638,3.357434999998077,3.4977599999983795,3.646569999997155,3.8877449999999953,4.023610000003828,4.1644950000045355,4.342210000002524,5.399440000008326,5.541955000007874,9.980909999998403,10.118755000003148,10.428960000004736,11.046314999999595,11.179919999995036,11.300304999997024,12.359895000001416,12.48842500000319,12.63669500000833]",25,8,captured pig,8,0,8,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
9,"[""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""down"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""left""]","[0.29969999998866115,0.6279349999967963,0.920269999987795,1.0606749999860767,1.6997999999875901,1.9597199999989243,2.221284999992349,4.017554999998538,4.180909999995492,4.3820749999867985,4.8402099999948405,5.047179999994114,5.397839999990538,5.558554999995977,5.7679299999872455,6.07894999999553,6.502424999998766,7.974259999988135,8.17440999999235,8.394094999996014,8.676529999997001,9.477614999996149,9.917189999992843,10.10211999999592,10.26322499998787,10.428904999993392,10.620604999989155]",25,11,captured pig,9,0,9,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
10,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""up"",""up"",""right"",""right"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left""]","[0.7424900000041816,0.9033000000054017,1.0253200000006473,1.3311950000061188,1.4730550000094809,1.7036900000093738,1.9519399999990128,2.706510000003618,3.079985000003944,3.4008800000010524,6.922870000009425,8.048005000004196,10.28427499999816,12.277350000003935,12.838080000001355,13.477255000005243,13.640455000000657,13.80124000000069,14.199345000000903,15.037700000000768,15.157680000003893,15.28175999999803,15.4180650000053]",25,16,captured pig,10,0,10,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
11,"[""left"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""right"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right""]","[0.4601200000033714,0.6768000000010943,0.8970949999929871,1.4167100000049686,1.8425500000012107,2.198915000000852,2.5894399999961024,2.8074999999953434,3.0007800000021234,4.321060000002035,4.742929999993066,5.864044999994803,6.208920000004582,6.4976150000002235,7.058235000004061,7.197975000002771,7.338510000001406,7.464055000004009]",25,26,captured pig,11,0,11,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
12,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""right"",""right"",""up"",""up"",""up"",""up"",""down"",""down"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left""]","[0.7009450000041397,0.8615400000126101,0.9848350000102073,1.5479000000050291,1.66169500000251,1.8214650000008987,2.6366850000049453,2.8962200000096345,3.2804250000044703,3.462660000004689,4.039185000001453,4.2787050000042655,4.8839200000074925,5.839230000012321,5.997600000002421,6.176560000007157,6.420080000010785,7.317765000014333,8.225780000007944,9.096140000008745,9.276490000003832,9.415740000011283,9.658325000011246,9.87803000000713,10.160120000000461,10.958700000002864,11.105365000010352]",0,1,No points scored,12,0,12,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
13,"[""left"",""left"",""down"",""down"",""down""]","[0.8055400000012014,1.5031449999951292,2.948225000000093,3.36621500000183,5.751264999998966]",25,21,captured pig,13,0,13,0,1,0,,SymbolicViewB,2020.1.3,Win32,-692322397841764288,6860752295780923935,60
