,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right""]","[2.100999999999999,2.5009999999999906,3.8659999999999997,4.4979999999999905,5.832999999999998,6.042999999999992,7.332999999999998,9.562999999999988,9.86099999999999,10.361999999999995,11.162000000000006,12.057999999999993,12.225999999999999,12.409999999999997]",25,13,captured pig,3,0,3,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
4,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]","[1.4679999999999893,1.9599999999999795,2.549999999999983,2.830999999999989,3.030000000000001,4.215000000000003,4.853999999999985,5.579000000000008,6.778999999999996,7.561999999999983,13.621999999999986]",25,28,captured pig,4,0,4,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
5,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""right"",""down"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left""]","[1.3729999999999905,1.717000000000013,2.3859999999999957,2.569999999999993,2.788000000000011,3.4560000000000173,3.6040000000000134,5.484000000000009,11.978000000000009,13.149000000000001,14.492999999999995,14.942000000000007,15.27600000000001,15.513000000000005,16.057999999999993,19.536,19.819000000000017,20.641999999999996,22.599999999999994,24.09899999999999,24.632000000000005,25.614000000000004,26.47999999999999,26.647999999999996,27.296999999999997,27.461000000000013,27.688999999999993,28.429000000000002,29.060000000000002]",5,12,Exited through black block,5,0,5,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
6,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""right""]","[1.492999999999995,1.9599999999999795,2.509999999999991,2.7229999999999848,3.3119999999999834,4.664999999999992,4.937999999999988,5.1559999999999775,5.36099999999999]",5,8,Exited through black block,6,0,6,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
8,"[""left"",""left"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""down""]","[1.3340000000000032,1.7849999999999966,3.266999999999996,3.414999999999992,3.6140000000000043,3.781000000000006,4.616000000000014,4.991000000000014,5.146000000000015,5.331999999999994,6.348000000000013,6.528999999999996,6.728000000000009,6.911000000000001,8.576999999999998,9.009999999999991,13.772999999999996,14,14.299000000000007,14.554000000000002,14.933999999999997,15.170000000000016,15.468999999999994,15.652000000000015,16.492999999999995,17.989000000000004]",0,-4,No points scored,8,0,8,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
9,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.48599999999999,2.0080000000000098,3.537000000000006,3.837999999999994,4.340000000000003,4.805000000000007,5.306000000000012,6.236999999999995,6.436000000000007,6.602000000000004,6.753000000000014,6.936000000000007,7.152999999999992,7.451999999999998]",5,-8,Exited through black block,9,0,9,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
10,"[""left"",""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""left"",""left""]","[1.4250000000000114,1.6260000000000048,1.809000000000026,2.7220000000000084,3.1410000000000196,3.4560000000000173,4.424000000000007,4.9150000000000205,6.3230000000000075,6.52000000000001,6.7520000000000095,7.685000000000002,7.867000000000019,8.052000000000021,8.269000000000005,8.578000000000003,10.419000000000011,10.602000000000004,10.850000000000023,11.082999999999998,11.318000000000012,11.5,13.298000000000002,13.480000000000018,13.727000000000004,13.979000000000013,15.164000000000016,15.362000000000023]",0,-33,No points scored,10,0,10,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
11,"[""right"",""right"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.4499999999999886,1.8460000000000036,2.6169999999999902,2.766999999999996,2.997000000000014,3.2479999999999905,4.407000000000011,4.811999999999983,5.22999999999999,6.289999999999992,8.72799999999998,9.027999999999992,9.275999999999982,9.506999999999977,9.76000000000002,10.077000000000027,10.292000000000002,10.518]",25,-22,captured pig,11,0,11,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
12,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""up"",""down"",""left""]","[1.7240000000000464,2.187000000000012,2.6860000000000355,2.987000000000023,3.319000000000017,3.719000000000051,4,4.266999999999996,5.298000000000002,5.809000000000026,6.213000000000022,6.504000000000019,7.798000000000002,9.096000000000004,9.29600000000005,9.524000000000001,9.912000000000035,11.632000000000005,11.843000000000018,12.04200000000003,12.466000000000008,14.241000000000042,16.37700000000001,17.91900000000004]",25,-12,captured pig,12,0,12,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
13,"[""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down""]","[1.4770000000000323,1.7069999999999936,3.055999999999983,3.244000000000028,3.4220000000000255,5.302000000000021,6.463999999999999,6.932999999999993,8.271999999999991,8.432999999999993,8.632000000000005,8.816000000000031,9.495000000000005,9.691000000000031,9.889999999999986,10.05400000000003]",25,0,captured pig,13,0,13,0,1,3355230906107335899,,SymbolicViewB,2020.1.3,Win32,1049387896893641948,513975908284125288,60
