,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""right"",""left"",""right"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""left"",""up"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left""]","[1.1792400000049383,1.701680000005581,2.3973650000043563,3.8435800000006566,4.5602750000034575,4.998415000001842,9.394720000003872,9.74907499999972,10.123090000000957,11.156740000005811,11.727624999999534,12.126009999999951,12.636900000004971,14.456000000005588,15.273590000004333,15.871709999999439,16.68424000000232,17.130340000003343,17.643660000001546,17.956385000004957,18.267165000004752,18.579330000000482,18.86660500000289,19.132970000006026,19.533190000001923,20.046860000002198]",0,-25,No points scored,3,0,3,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
4,"[""left"",""left"",""down"",""down"",""down"",""left""]","[0.48536500000045635,1.1362949999966077,1.850334999995539,2.228704999994079,2.4492449999961536,3.2737950000009732]",25,-6,captured pig,4,0,4,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
5,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""right"",""right"",""left"",""left"",""left"",""left""]","[2.118029999997816,2.9154449999987264,3.292569999997795,3.7002449999999953,3.9257849999994505,4.263704999997572,4.66224499999953,6.09777000000031,6.42756499999814,6.821424999994633,7.15475499999593,7.393824999999197,7.675684999994701,8.527334999998857,8.761559999999008,9.05344999999943,10.088434999997844,10.75800000000163,11.500514999999723,11.707089999996242,11.973809999995865,12.274219999999332]",25,-3,captured pig,5,0,5,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
6,"[""right"",""right"",""down"",""down"",""left"",""down"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down""]","[1.1327600000004168,1.6120000000009895,2.0239650000003166,2.317414999997709,2.6422200000015437,3.180594999997993,3.419064999994589,3.648139999997511,3.960220000000845,7.241284999996424,7.559739999996964,8.589175000000978,9.27382999999827,9.710914999996021,10.020129999997152,10.466219999994792,11.204229999995732,11.603745000000345,12.237345000001369,12.584380000000237,13.057284999995318,13.38807000000088,13.684410000001662,14.123354999996081,14.504274999999325]",0,-28,No points scored,6,0,6,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
8,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right""]","[1.8193749999991269,2.342949999998382,2.664184999994177,2.9967199999955483,3.228704999994079,3.816384999998263,4.36475999999675,6.382984999996552,7.037019999996119,7.178154999994149,7.487789999999222,8.020635000000766,8.44836999999825,8.753704999995534,9.635264999997162,10.587984999998298,10.853089999996882,11.122974999998405,11.434864999995625]",5,-19,Exited through black block,8,0,8,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
9,"[""left"",""left"",""left"",""right"",""right"",""right""]","[1.1401299999997718,1.4040249999961816,1.7281899999943562,2.0751449999952456,2.4293350000007194,2.7490749999997206]",25,0,captured pig,9,0,9,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
10,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right""]","[1.4937349999963772,1.9687049999993178,2.7302750000017113,3.1433649999962654,3.6398800000024494,3.990714999999909,4.329404999996768,4.610399999997753,5.428350000001956,5.840785000000324,6.177434999997786,6.505469999996421,6.922980000003008,7.500684999999066,7.873359999997774,8.721245000000636,8.97180500000104,11.90258499999618,13.485184999997728,13.926039999998466,16.865465000002587,17.502135000002454,20.903435000000172,22.574995000002673,23.147344999997586,23.517854999998235,24.39190000000235,25.374595000001136,27.149514999997336]",0,-25,No points scored,10,0,10,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
11,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down""]","[1.3303949999972247,2.0219950000027893,2.361080000002403,2.9126850000029663,3.3472249999977066,3.67248500000278,3.9904850000020815,4.2278799999985495,4.48035499999969]",25,-9,captured pig,11,0,11,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
12,"[""right"",""right"",""down"",""down"",""down""]","[0.7101899999979651,1.101779999997234,1.4507299999968382,1.787864999998419,2.056109999997716]",25,11,captured pig,12,0,12,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
13,"[""right"",""right"",""left"",""down"",""down"",""down"",""down"",""left"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""left"",""right"",""right"",""right"",""right"",""up"",""up"",""down""]","[0.7376700000022538,1.2609900000024936,1.73951500000112,2.0035050000005867,2.3034350000016275,2.601759999997739,3.0247999999992317,4.709739999998419,5.107185000000754,5.350429999998596,6.11996000000363,6.546255000001111,6.7552599999980885,7.021085000000312,7.182419999997364,7.384774999998626,7.773849999997765,8.507875000002969,10.2977200000023,11.862130000001343,12.230349999997998,12.461145000001125,12.678749999999127,13.145100000001548,13.375834999998915,15.76229500000045]",0,-14,No points scored,13,0,13,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
14,"[""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""up"",""down"",""down"",""left"",""left""]","[1.0098900000011781,1.2905449999962002,1.8522200000006706,2.200349999999162,2.442204999999376,2.691514999998617,3.1146200000002864,4.476349999997183,5.132174999998824,5.730100000000675,6.530025000000023,6.800119999999879,7.4132749999989755,10.76466999999684,11.020564999998896,12.142124999998487,12.61475000000064,13.276834999996936,13.653924999998708,14.136650000000373]",5,-24,Exited through black block,14,0,14,0,1,-8449826466926639935,,SymbolicViewB,2020.1.3,Linux x86_64,-722999530961778417,-6497917486160606972,60
