,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""left"",""down"",""right"",""right"",""right"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""right"",""right"",""right"",""right"",""right""]","[2.0408950000019104,3.223040000000765,3.572760000002745,3.9229599999998754,4.439750000001368,5.398440000000846,5.697700000000623,6.310825000000477,7.2721850000016275,7.74034500000198,8.325495000000956,8.395954999999958,8.646025000001828,8.855435000001307,9.208375000001979,9.306000000000495,9.58576499999981,9.95401000000129,10.906310000002122,12.008420000001934,12.255660000002536,12.538505000000441,12.721154999999271,13.038350000002538]",25,6,captured pig,3,0,3,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
4,"[""down"",""up"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down""]","[1.3087100000010992,2.078499999999565,2.5238200000021607,2.8908300000002214,8.715435000001833,9.630199999999604,9.982554999998626,10.223000000001718,10.402235000001383,10.57507999999865,10.744620000001248]",25,24,captured pig,4,0,4,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
5,"[""left"",""left"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.235550000001183,1.7115349999984915,3.1397849999993923,4.127830000001211,4.403225000001839,4.5949099999998,5.498410000000149,6.697215000000142,6.757000000001369,7.01959500000163,7.193914999999777,7.371275000001276,7.5490500000014435,7.719619999999907,7.919150000001537,8.100774999998976,8.282185000000084,8.464465000000871,8.664735000002054,8.805000000000291,9.030685000001597,9.21630500000174,9.403259999999136,9.580715000000112,9.770110000001239,10.034700000000214,10.271450000000186,10.48356000000058,10.677589999999327,10.882415000000037,11.083565000000817,11.309245000000317,11.48697000000169,11.688365000001795,13.996699999999748,14.220554999999877,14.406074999998964,14.605595000000903,14.718925000001036,14.934035000001984,15.111840000001337,15.280770000001155,15.470840000001772,15.663800000002084,15.820520000001125,17.296815000001516,17.508180000000777,18.561474999998552,18.563135000000386,18.56407500000205,18.565314999999828,18.56702500000023,18.66061500000069,18.870109999999897,19.108420000000535,19.50494500000059,19.71739499999967,19.931179999999586,20.193015000000685]",25,35,captured pig,5,0,5,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
6,"[""right"",""right"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left""]","[3.4121449999984748,3.8245549999992363,4.996214999999211,5.219064999997499,5.432314999998198,5.672984999997425,11.229959999996936,11.509070000000065,11.709914999999455,12.353369999997085,12.553159999999536,12.71120999999772,13.96979999999894,14.17860499999739,14.349524999997811,14.515244999998629,14.657519999997078,16.76048499999888,17.01156499999712,17.20830500000011,17.446759999998903,18.18862999999692,18.375065000000177,18.57459999999992,18.747124999998107,18.892369999997698,19.088974999998754,19.162404999999183,20.93540500000023,21.153449999997974,21.302734999997483,21.48790000000008]",0,10,No points scored,6,0,6,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
8,"[""down"",""down"",""left"",""left"",""left"",""left"",""left""]","[1.2091700000019046,1.9789850000015576,2.5801050000009127,3.6183950000013283,3.783740000002581,3.948585000001799,4.085655000002589]",25,49,captured pig,8,0,8,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
9,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""up"",""down"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""down""]","[1.9239699999998265,2.4637000000002445,2.6087399999997842,3.1883100000014792,3.6674800000000687,3.9789050000000543,4.168994999999995,5.911065000000235,5.913530000001629,6.097320000000764,6.321885000001089,6.507160000001022,6.726415000000884,7.502745000001596,7.769345000000612,8.011279999998806,8.194139999999607,8.411414999998556,9.48909500000093,10.545525000001362,10.693905000000086,10.854009999998993,11.026920000000246,11.159719999999766,11.305655000000115,11.970580000001064,11.971345000001861,12.172370000000228,12.355794999999375,12.505095000000438,12.671839999999179,12.821710000000166,12.967759999999544,13.57391999999902,14.393905000000814]",0,24,No points scored,9,0,9,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
10,"[""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down""]","[1.3235999999997148,1.9764050000012503,2.186345000001893,2.3550800000011805,2.5316750000019965,2.92326999999932,3.1753800000005867,3.357495000000199,3.569210000001476,4.673225000002276]",25,40,captured pig,10,0,10,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
11,"[""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up""]","[1.8790849999968486,2.2107899999973597,2.82793999999933,3.110844999999358,3.477724999997008,4.217334999997547,4.672649999996793,4.943589999998949,5.110564999999042,5.377039999999397,6.953814999997235,7.4529249999977765,7.693359999997483,8.093714999999065,8.342769999999405,8.523434999999154,8.676574999997683,8.84228499999881,9.025984999996695,9.485079999998561,9.732514999999694,9.960869999998977,10.176204999999754,10.409389999997188,10.783120000000054,10.98073999999906,11.133829999998852,11.296174999999494,11.469320000000039,11.623734999997282,11.792384999997012,11.958954999998241,12.757784999997966,13.024574999999572,13.192964999998367,13.372364999999377,13.538489999999001,13.701219999999125,13.87165499999901,14.038169999999809,14.25836499999798,14.434119999998074]",25,42,captured pig,11,0,11,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
12,"[""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.5889099999985774,2.5731699999996636,2.7281699999984994,2.913124999999127,3.031764999999723,3.199509999998554,3.3375500000000784,3.4932599999992817,3.6555699999989884,3.880444999998872,4.067714999997406]",25,64,captured pig,12,0,12,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
13,"[""left"",""left"",""down"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down""]","[1.468959999998333,1.8399250000002212,2.327324999998382,3.5904950000003737,3.907275000001505,4.127720000000295,4.295474999998987,4.452375000000757,4.666450000000509,4.971024999998917,5.2098349999977245,5.375844999998776,5.53175999999803]",25,80,captured pig,13,0,13,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541144581332940867,-1369214760730777457,60
