,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""left"",""left""]","[1.4154100001323968,1.6083150000777096,1.8650400000624359,2.0815099999308586,2.276145000010729,3.3648350001312792,4.005355000030249,4.2617450000252575,4.53252000012435,4.620920000132173,7.047960000112653,7.2502250000834465,7.410480000078678,7.801140000112355,8.06349500012584,8.332025000127032,8.984304999932647,9.231880000093952,9.470429999986663,11.016650000121444,11.284740000031888,11.615914999973029,11.870464999927208,13.018094999948516,15.915680000092834,19.551135000074282,20.026670000050217,20.52517500007525,21.48985500005074,22.215060000075027,22.552200000034645,22.832820000126958,23.265915000112727,23.73931000009179,24.1180549999699,24.383970000082627,24.80070500005968]",0,-25,No points scored,3,0,3,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
4,"[""right"",""right"",""left"",""left"",""right"",""left"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""down""]","[1.7006750002037734,2.1040849999990314,2.9737750000786036,3.566645000129938,4.662625000113621,5.604280000086874,6.093225000193343,8.001589999999851,9.551200000103563,11.05056000011973,11.889345000032336,12.433120000176132,13.353460000129417,13.666080000111833,13.91719500022009,14.216180000221357,14.431355000007898,14.75389500008896,15.01679000002332,15.388795000035316,15.583920000120997,15.76795500004664,18.18166000000201,18.568590000038967,19.003610000014305,19.25192499998957]",0,-50,No points scored,4,0,4,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
5,"[""left"",""left"",""left"",""left"",""left""]","[0.7973850001581013,1.2324500000104308,1.8817000000271946,2.0854700000490993,2.27980999997817]",25,-28,captured pig,5,0,5,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
6,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""left"",""left"",""left"",""left"",""left""]","[0.9747800000477582,1.2133299999404699,1.7602500000502914,2.575304999947548,3.2182050000410527,3.604625000152737,3.8945850001182407,4.087640000041574,4.448650000151247,4.679854999994859,6.02843499998562,8.612005000002682,9.149970000144094,10.175375000108033,11.94370499998331,12.521790000144392,12.590825000079349,13.513250000076368,14.09315500012599,14.582875000080094,15.128664999967441,15.479365000035614,15.857569999992847]",25,-19,captured pig,6,0,6,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
8,"[""left"",""left"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down""]","[2.240215000230819,2.505410000216216,2.856290000025183,3.080900000175461,3.2954250001348555,4.1130100002046674,4.930605000117794,5.880770000163466,6.608220000052825,7.45939000020735,7.722100000130013,8.25595000013709,9.113770000170916,10.055255000013858,11.463725000154227]",25,-11,captured pig,8,0,8,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
9,"[""left"",""left"",""left"",""left"",""left"",""left""]","[5.519005000125617,7.206170000135899,7.904530000174418,10.322160000214353,11.239640000043437,11.63141500018537]",25,10,captured pig,9,0,9,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
10,"[""left"",""left"",""left"",""left"",""right"",""left"",""left"",""down""]","[1.165694999974221,1.4316950000356883,2.7532399999909103,3.9631749999243766,7.101709999842569,8.254474999848753,9.378099999856204,11.35903499997221]",25,28,captured pig,10,0,10,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
11,"[""left"",""left"",""left""]","[0.8490000001620501,1.395710000069812,1.9585949999745935]",25,50,captured pig,11,0,11,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
12,"[""right"",""left"",""left"",""right"",""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down""]","[3.0806150001008064,3.967655000044033,4.585300000151619,5.209969999967143,5.695575000019744,5.977225000038743,6.596499999985099,7.046205000020564,7.8217700000386685,8.451905000023544,8.947975000133738,9.428800000110641,10.886810000054538,11.517325000138953]",25,61,captured pig,12,0,12,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
13,"[""left"",""left"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""right""]","[0.8362300000153482,1.6950400001369417,2.2782400001306087,2.682540000183508,3.2583550000563264,4.305430000182241,5.416465000016615,6.455275000073016,7.15472500002943,7.734330000123009,8.179360000183806,9.184710000175983,9.948830000124872]",25,74,captured pig,13,0,13,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
14,"[""left"",""left"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""down""]","[3.483449999941513,4.028745000017807,4.577929999912158,6.046845000004396,7.585579999955371,7.990370000014082,8.383919999934733,9.246934999944642,9.695850000018254,10.469614999834448,12.47575999982655]",25,88,captured pig,14,0,14,0,1,-17701127826029012,,SymbolicViewB,2020.1.3,Win32,-2241429108092994613,3045814475361628546,60
