,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up""]","[0.8939149999059737,1.4657199999783188,2.6726749999215826,3.307939999969676,5.663539999979548,6.068664999911562,6.798359999898821,7.217405000003055,7.44372499990277,7.624759999918751,7.75956999999471,7.992364999954589,8.268689999938942,15.464794999919832,15.67668999999296,15.849849999998696,16.059749999898486,17.813839999958873,21.754859999986365,21.999434999888763,30.427904999931343,32.29002999991644,34.274059999966994,35.12535999994725,35.51446499989834,35.99376999994274,36.63059999991674,37.47224999999162,38.9831599999452]",25,2,captured pig,3,0,3,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
4,"[""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left""]","[1.2422200000146404,1.520035000052303,2.0005050000036135,3.29253500001505,3.4656599999871105,3.675175000098534,3.8847250000108033,4.059505000011995,5.748160000075586,8.60311999998521,11.81007500004489,12.366900000022724,12.577230000053532,12.716745000099763,12.891575000016019,13.067875000066124,14.910310000064783,16.535585000063293,16.95600500004366,17.339314999990165,20.287250000052154,20.531835000030696,20.706285000080243]",25,7,captured pig,4,0,4,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
5,"[""left"",""left"",""right"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down""]","[1.31440500007011,1.6113200000254437,4.92268000007607,5.4923450000351295,6.288305000052787,6.498140000039712,6.674794999998994,8.598835000069812,8.847750000073574,9.02346000005491,9.232790000038221,9.84132500004489,10.029835000052117,10.212780000059865,10.387519999989308,10.561135000083596,10.736265000072308]",25,17,captured pig,5,0,5,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
6,"[""left"",""left"",""right"",""down"",""down"",""down"",""down""]","[1.1409749999875203,1.6111249999376014,5.693594999960624,5.971889999927953,6.1591349999653175,6.304279999923892,6.463684999966063]",25,35,captured pig,6,0,6,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
8,"[""right"",""right"",""down"",""down"",""down""]","[0.8838799999793991,1.0604499999899417,1.4119150000624359,1.6902750000590459,1.900910000083968]",25,53,captured pig,8,0,8,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
9,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.4780650000320747,1.7851250000530854,2.2478399999672547,2.5445700000273064,3.2705449999775738,4.137420000042766,4.62754000001587,8.655915000010282,8.887195000075735,9.117035000002943,9.269105000072159,9.460175000014715,9.695360000012442,9.86323000001721,10.322500000009313,10.917230000020936,18.861739999963902,18.862495000008494,18.862994999974035,18.863669999991544,18.864225000026636,18.86473999998998,18.865240000071935,18.865710000041872,18.86618000001181,18.866640000022016,18.9201250000624,18.92077500000596,18.921319999964908,18.921960000065155,18.923215000075288,19.016130000003614,19.261664999998175,19.52386000007391,19.825545000028796,20.588470000075176,23.75612000003457,23.7569450000301,23.757875000010245,23.759205000009388,23.760355000034906,23.760995000018738,23.762364999973215,23.763195000006817,23.764160000020638,23.764685000060126,23.76595000002999,23.81558000005316]",0,28,No points scored,9,0,9,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
10,"[""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""up"",""up"",""left"",""down"",""down"",""left"",""left""]","[1.4175250000553206,1.6455550000537187,7.067520000040531,7.305189999984577,7.448465000023134,8.199544999981299,8.380890000029467,8.56145000003744,8.69932500005234,9.419379999977536,9.516960000037216,9.66476000007242,9.852395000052638,9.993179999990389,10.15795500006061,10.295604999992065,11.117014999967068,16.228000000002794,17.803324999986216,18.21770000003744,20.48961499996949,22.745280000031926,26.636515000020154,26.95863000000827,27.73505500005558,28.0578000000678,28.333010000060312,28.740850000060163,28.924375000060536]",0,3,No points scored,10,0,10,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
11,"[""up"",""up"",""up"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left""]","[0.9508449999848381,1.0925900000147521,1.2747850000159815,2.2411149999825284,2.636640000040643,4.649179999949411,4.920554999960586,5.05003000004217,5.655505000031553,5.858245000010356,6.1756550000282004]",25,18,captured pig,11,0,11,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
12,"[""right"",""right"",""down"",""down"",""down"",""up"",""up"",""down"",""down"",""down""]","[1.2123200000496581,2.6877950000343844,9.291854999959469,9.551184999989346,9.95175000000745,10.42469000001438,10.635570000042208,11.363220000057481,11.935455000028014,12.311065000016242]",25,33,captured pig,12,0,12,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
13,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left""]","[1.4602450000820681,2.184594999998808,4.008835000102408,5.911410000058822,6.119715000037104,6.754965000087395,7.052115000085905,7.300380000029691]",25,50,captured pig,13,0,13,0,1,0,,SymbolicViewB,2020.1.3,Win32,-35659684278806495,289729118855695580,60
