,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.2795050000022457,2.1294200000011188,2.2965650000005553,2.479849999999715,3.3891900000016904,4.698770000002696,4.914150000000518,5.1801850000010745,6.664070000002539]",25,21,captured pig,3,0,3,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
4,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down""]","[5.014659999997093,5.381059999999707,12.467839999997523,12.647979999997915,12.847995000000083,12.964789999998175,15.081694999997126,15.297419999998965]",25,40,captured pig,4,0,4,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
5,"[""left"",""left"",""left"",""left"",""left"",""left""]","[3.3007500000021537,3.5014250000022002,3.667735000002722,4.338615000000573,5.50171500000215,8.068119999999908]",25,61,captured pig,5,0,5,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
6,"[""left"",""left"",""left"",""left"",""left""]","[4.218974999999773,4.579209999999875,4.867770000000746,5.116744999999355,5.533995000001596]",25,83,captured pig,6,0,6,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
8,"[""left"",""left"",""left"",""left""]","[2.4707999999991443,2.832269999998971,8.466884999998001,8.916369999999006]",25,108,captured pig,8,0,8,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
9,"[""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down""]","[5.115755000002537,6.4318250000033,6.619975000001432,6.797190000001137,6.964105000002746,7.1131249999998545,7.28043500000058,7.3874050000013085,7.480720000003203,8.66415500000221,8.863769999999931,9.079555000000255,9.263275000001158,9.748125000001892,10.114489999999932,10.265030000002298,10.363925000001473,10.465695000002597,10.68041500000254,10.913930000002438,11.731160000003001,11.906585000000632,12.030930000000808]",25,126,captured pig,9,0,9,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
10,"[""right"",""right"",""right"",""right"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down""]","[3.2126600000010512,4.843590000000404,5.092949999998382,5.3116899999986344,5.512234999998327,5.7620849999984785,6.047464999999647,6.130584999998973,6.3464400000011665,6.438399999999092,6.562405000000581,6.795125000000553]",25,143,captured pig,10,0,10,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
11,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""down"",""down"",""down"",""right"",""down"",""down""]","[3.6713700000000244,3.9242150000027323,4.151750000000902,4.335775000003196,4.548400000003312,4.6855800000012096,4.769050000002608,4.8694200000027195,5.337085000002844,5.718880000000354,5.986155000002327,6.13720000000103,6.351885000000038,6.935985000000073,7.103255000001809]",25,158,captured pig,11,0,11,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
12,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down""]","[1.727325000003475,2.481935000003432,2.6428350000023784,2.9630700000016077,3.1261150000027556,5.732685000002675,8.54316000000108,8.779480000001058,8.894020000003366]",25,176,captured pig,12,0,12,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
13,"[""left"",""left"",""left""]","[11.575124999999389,11.745535000001837,11.868279999998776]",25,198,captured pig,13,0,13,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
14,"[""left"",""up"",""down"",""right"",""left"",""down"",""down"",""left"",""left"",""down"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left""]","[2.032809999996971,2.401449999997567,5.767369999997754,22.899149999997462,23.916449999996985,24.556534999999712,27.25400499999887,27.617569999998523,28.066424999997253,28.771034999997937,29.650019999997312,30.986769999999524,31.58361999999761,31.775644999997894,31.911914999996952,32.122574999997596,32.2682449999993,32.3825399999987,32.46669999999722,32.617904999999155,32.7679599999974,32.885949999999866,32.982984999998735,33.083230000000185]",25,203,captured pig,14,0,14,0,1,9172868371757014594,,SymbolicViewB,2020.1.3,MacIntel,2255339344115932741,-5932777886750484870,60
