,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""right"",""right"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""up"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""left"",""left"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""up"",""up"",""up"",""up"",""up"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left""]","[1.895479999948293,2.4122049999423325,2.6626449999166653,3.2294599999440834,3.895339999930002,4.095149999950081,4.278929999913089,4.56215000001248,4.8921599999303,5.16230500000529,5.453534999978729,5.701454999973066,6.296209999942221,6.966454999987036,7.469624999910593,7.91230500000529,8.847479999996722,10.047484999988228,10.285649999976158,10.430434999987483,11.147604999947362,11.421594999963418,11.863224999979138,12.064664999954402,12.282864999957383,12.533575000008568,12.731165000004694,13.014779999968596,13.264304999960586,15.282529999967664,15.365734999999404,15.765989999985322,15.996979999938048,16.17354499991052,16.36627999995835,16.653619999997318,17.79970999993384,18.01633499993477,63.0266699999338,63.02713499998208,63.02762499998789,63.027999999932945,63.02869499998633,63.02897999994457,63.0292049999116,63.029439999954775,63.02967499999795,63.02989499992691,63.03029999998398,63.03096999996342,63.03119499993045,63.03148499992676,63.031895000021905,63.032104999991134,63.03234499995597,63.032554999925196,63.032739999936894,63.03297499998007,63.033164999913424,63.0333849999588,63.03360500000417,63.03379499993753,63.033994999947026,63.03640500002075,63.03666500002146,63.03686499991454,63.037060000002384,63.03723999997601,63.03800499998033,63.04338499996811,63.0443250000244,63.046020000008866,63.046229999978095,63.04634499992244,63.0464449999854,63.04654999997001,63.04672500002198,63.04688499995973,63.04701999993995,63.04714499996044,63.0472600000212,63.04738999996334,63.047520000021905,63.04761999996845,63.04772499995306,63.04874499992002,63.048895000014454,63.049054999952205,97.30262999993283,97.3028199999826,97.30294999992475,97.30307499994524,97.30322499992326,97.30335499998182,97.30346999992616]",0,-25,No points scored,3,0,3,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
4,"[""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]","[2.24206000007689,3.0525500000221655,3.307160000083968,3.6377000000793487,3.9005200000246987,4.218885000096634,4.417855000006966,4.800785000086762,4.856024999986403,5.026315000024624,5.134145000018179,5.251770000089891,5.477990000043064,6.678710000007413,6.679330000071786,6.680560000007972,6.681320000090636,6.681885000085458,6.6822500000707805,6.682630000053905,6.8925250000320375,6.968265000032261,7.247450000024401,7.247680000029504,7.353515000082552,7.755650000064634,7.819040000089444,10.637825000099838,10.993905000039376,11.419775000074878,11.603275000001304,11.773240000009537,12.153520000050776,12.59471500001382,12.59648000006564]",25,-16,captured pig,4,0,4,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
5,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down""]","[2.1187349999090657,2.2380999999586493,2.3580849999561906,2.854179999907501,3.038124999962747,3.1579899999778718,3.2829299999866635,3.4030100000090897,3.5173749999376014,3.634525000001304]",25,2,captured pig,5,0,5,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
6,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""up"",""up"",""right"",""right"",""right""]","[2.482484999927692,3.0706350000109524,5.2012949999189,5.673439999925904,5.952264999970794,6.237054999917746,6.432169999927282,6.646609999937937,6.987345000030473,7.096974999993108,7.413764999946579,10.048074999940582,10.224719999940135,11.536465000011958,11.715815000003204,11.93242999992799,12.120389999938197,12.38251499994658,12.600220000022091,12.848624999984168]",5,-10,Exited through black block,6,0,6,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
8,"[""left"",""right"",""down"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""right"",""right"",""right""]","[2.2393849999643862,2.898574999999255,3.465254999930039,3.6081999999005347,3.9662249999819323,4.084734999923967,4.20673499989789,4.515819999971427,4.700754999998026,4.991004999959841,5.667724999948405,6.151844999985769,6.449594999896362,6.749899999937043]",5,-20,Exited through black block,8,0,8,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
9,"[""right"",""left"",""left"",""left"",""left"",""left"",""left""]","[3.5760000000009313,4.207324999966659,4.39144999999553,4.527729999972507,4.679254999966361,4.77320499997586,4.956209999974817]",25,-1,captured pig,9,0,9,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
10,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""right"",""right"",""right"",""up"",""up"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""up""]","[1.434540000045672,1.720435000024736,1.9000600000144914,2.3844100000569597,2.824890000047162,3.424585000029765,4.301650000037625,5.302090000011958,5.450139999971725,5.754019999993034,6.120340000023134,6.31835499999579,9.135750000015832,9.78448999999091,9.802915000007488,10.019659999990836,10.856299999984913,10.992380000068806,12.977825000067241,13.186905000009574,13.408530000015162,13.721329999971204,13.905645000049844,14.57632500003092,14.754495000001043,14.972955000004731,15.204660000046715,15.408520000055432,15.759244999964722,16.010015000007115,16.18866500002332,20.55748499999754,20.68941500002984,21.323289999971166]",0,-26,No points scored,10,0,10,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
11,"[""down"",""down"",""right"",""left"",""right"",""down"",""right"",""down"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down""]","[2.286145000020042,2.6134999999776483,4.023719999939203,4.803244999959134,5.580919999978505,6.336379999993369,6.6571299999486655,6.872334999963641,7.065070000011474,7.488369999919087,8.13292999996338,9.490604999940842,9.632819999940693,9.752370000001974,9.866365000023507,9.982489999965765]",25,-14,captured pig,11,0,11,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
12,"[""down"",""down"",""down"",""right"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left""]","[2.634100000024773,3.1168049999978393,3.5004750000080094,4.537780000013299,5.225744999945164,5.684815000044182,6.1857799999415874,6.551620000042021,6.952264999970794,7.101479999953881,7.218340000021271,7.65254499996081,8.05226499994751,8.585729999933392,8.785784999956377,9.01905500004068,9.419205000041984,9.636075000045821,9.78558999998495,9.919920000014827,10.502929999958724,10.769779999973252,10.979889999958687,12.393840000033379,12.803259999956936,12.953435000032187,14.371079999953508,15.177765000029467,15.977715000044554,18.75584500003606,18.98872499994468,20.33101500000339,20.388930000015534,20.6729050000431]",0,-39,No points scored,12,0,12,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
13,"[""right"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down""]","[6.667989999987185,6.668715000036173,6.669319999986328,7.4187849999871105,8.883020000066608,13.468660000013188,13.469370000064373,13.470070000039414,13.470880000037141,13.471400000038557,13.472279999987222,13.472980000078678,13.47355500003323,14.804525000043213,14.923470000037923,15.275495000067167,15.45952999999281,15.655410000006668,15.789680000045337,15.840020000003278,15.982520000077784,16.144375000032596,16.278295000083745,16.278645000071265,16.667055000085384,16.866060000029393,17.38835999998264,17.58967500005383,17.80664500000421,17.989425000036135,19.093650000053458,19.26555999997072,19.400720000034198,19.579410000005737,19.789690000005066,20.060060000047088,20.606165000004694,20.75557999999728,20.889504999970086]",25,-27,captured pig,13,0,13,0,1,330929508234855488,,SymbolicViewB,2020.1.3,Win32,-194884276696898881,4878593495777671574,60
