,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""right"",""right"",""right"",""down"",""up"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""left"",""up"",""up"",""up"",""up"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""up"",""left"",""left"",""left"",""down"",""right"",""right""]","[1.9050600000000486,2.5298199999999724,3.7344249999999874,4.16728999999998,4.939430000000016,5.564505000000054,6.038864999999987,6.465019999999981,6.715779999999995,8.304815000000076,8.672805000000025,9.026775000000043,10.197260000000028,12.132235000000037,12.503254999999967,12.840244999999982,14.039530000000013,15.742910000000052,16.185100000000034,16.610995000000003,17.062419999999975,17.913755000000037,18.239895000000047,19.374154999999973,19.664660000000026,20.09005000000002,20.64123500000005,20.967110000000048,21.267749999999978,21.96929499999999,23.07412999999997,23.40153500000008]",0,-25,No points scored,3,0,3,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
4,"[""right"",""right"",""down"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""left"",""left"",""left"",""up"",""up"",""up"",""down"",""up"",""down"",""right"",""right"",""right"",""right"",""right"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right""]","[2.2039700000000266,2.7799100000000863,4.231790000000046,6.2856250000000955,6.611510000000067,6.992025000000012,7.264825000000087,7.664605000000051,9.115060000000085,9.414470000000051,10.201315000000022,10.772125000000074,11.080290000000105,11.372265000000084,12.173585000000003,12.548735000000079,13.150075000000015,14.454430000000002,14.468074999999999,16.281360000000063,16.616780000000063,16.907410000000027,17.408505000000133,17.720060000000103,18.669955000000073,19.209820000000036,19.20997,19.662374999999997,22.97659500000009,23.596610000000055,25.25395500000002,26.501980000000003,27.104325000000017,27.652510000000007,29.20778000000007,29.816085000000044,32.31379500000003,33.716995,35.821075000000064,36.221765000000005,36.53215,36.88262000000009,37.33286500000008,37.92572500000006,38.37713000000008,38.92791,39.33077000000003,43.03620500000011,43.33705500000008,43.63706000000002,44.03766000000007,44.39705999999998,44.74177000000009,45.06474000000003,45.34066500000006,45.64051500000005,45.94540000000006,46.32409000000007,47.04661500000009,47.41917000000001,48.15412500000002,49.49885000000006,49.95913500000006,50.899125000000026,51.44997000000001,52.3062000000001,52.838440000000105,53.41435000000001,53.85800000000006,54.26253000000008,55.08531500000004,55.512615000000096,55.9119300000001,56.838070000000016]",0,-50,No points scored,4,0,4,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
5,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""down"",""down"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""up"",""down"",""down"",""down"",""up""]","[3.3585500000000366,3.8144849999999906,4.6318899999999985,6.336255000000051,6.69384500000001,7.037895000000049,7.288165000000049,7.491859999999974,8.470614999999952,8.850485000000049,10.218420000000037,10.531119999999987,11.102930000000015,11.603899999999953,12.045280000000048,12.422789999999964,12.733185000000049,13.078075000000013,13.408770000000004,14.571575000000053,14.963724999999954,15.364874999999984,15.805145000000039,16.255994999999984,16.53752499999996,16.856379999999945,17.738794999999982,18.02157999999997,18.66826500000002,19.294104999999945,19.72333500000002,20.018114999999966,21.066124999999943]",0,-75,No points scored,5,0,5,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
6,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""down"",""up"",""left"",""left""]","[1.3541300000000547,1.7836399999999912,2.154745000000048,2.4383000000000266,2.654145000000085,2.8290250000000015,3.078710000000001,3.8043250000000626,7.463615000000004,8.210055000000011,8.490679999999998,8.718079999999986,8.91626000000008,9.570765000000051,10.00077500000009,10.369010000000003,10.594275000000039,10.845255000000066,11.64728500000001,11.997505000000046,12.844535000000064,13.099435000000085,13.326980000000049,14.12648999999999,14.126655000000028,14.731224999999995,14.978990000000067]",0,-100,No points scored,6,0,6,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
8,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""left"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""down"",""up""]","[1.7525450000000546,2.153175000000033,2.4785699999999906,3.154700000000048,3.406190000000038,3.5896400000000313,3.7879950000000235,3.9922800000000507,4.455195000000003,4.655705000000012,5.896055000000047,6.312325000000101,7.090760000000046,7.471859999999992,8.616105000000061,8.892635000000041,9.193444999999997,9.497335000000021,9.749324999999999,10.776170000000093,11.021055000000047,11.297815000000014,11.559175000000096,12.522705000000087,13.43707500000005,13.811460000000011,14.352535000000103,14.91061000000002]",0,-107,No points scored,8,0,8,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
9,"[""up"",""down"",""down"",""down"",""up"",""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""right""]","[1.4275000000000375,3.0510749999999973,5.438154999999966,6.482699999999937,6.482890000000026,7.484700000000004,7.921079999999989,8.560804999999988,8.920750000000027,9.23888500000001,10.039964999999967,10.375010000000003,10.716900000000038,11.046295000000015]",5,-115,Exited through black block,9,0,9,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
10,"[""right"",""down"",""down"",""right"",""up"",""down"",""up"",""down"",""right"",""left"",""left"",""left"",""left""]","[1.5399999999999636,3.2951550000000225,4.022874999999999,5.255339999999933,6.677164999999945,7.46431999999993,8.207040000000006,8.263809999999921,9.509124999999926,10.664699999999925,11.137344999999982,11.537455000000023,12.013579999999934]",25,-102,captured pig,10,0,10,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
11,"[""up"",""up"",""up"",""right"",""right"",""down"",""down"",""down"",""up"",""left"",""up"",""up"",""up"",""down""]","[1.327054999999973,1.9798700000000053,2.4822599999999966,3.983569999999986,4.359259999999949,5.144519999999943,5.408079999999927,5.634924999999953,6.336990000000014,8.488249999999937,9.091090000000008,9.467724999999973,9.769159999999943,10.667644999999993]",25,-89,captured pig,11,0,11,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
12,"[""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down""]","[2.033779999999979,2.658839999999941,4.061649999999986,4.412579999999934,5.299784999999929,5.594629999999938,6.119644999999991,6.319529999999986,6.575324999999907]",25,-73,captured pig,12,0,12,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
13,"[""up"",""left"",""left"",""left"",""left"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""down"",""down"",""down"",""down"",""up"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""up"",""down""]","[1.9918499999999995,2.8348700000000235,3.125774999999976,3.3517399999999498,3.905999999999949,4.206580000000031,4.582019999999943,5.292550000000006,5.51831500000003,5.78100500000005,6.9098450000000184,7.28449999999998,7.560685000000035,8.437715000000026,8.639355000000023,9.040660000000003,9.268860000000018,11.19273499999997,11.218179999999961,11.593494999999905,12.577310000000011,12.799440000000004,13.755085000000008,14.625530000000026,14.87584000000004,15.050614999999993,15.276340000000005,16.27723500000002,16.628489999999942,16.979704999999967,17.404795000000036,18.08365500000002,18.335375,18.620400000000018,18.908275000000003,18.958605000000034,19.187485000000038]",0,-98,No points scored,13,0,13,0,1,6886896629448351917,,SymbolicViewB,2020.1.3,Win32,2275210611020964015,4297855053671433159,60
