,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""up"",""left"",""up"",""left"",""left"",""left"",""left""]","[2.3559999999999945,3.2049999999999983,3.7720000000000056,4.188999999999993,5.888000000000005,6.1710000000000065,6.5049999999999955,6.924000000000007,7.272999999999996,7.537000000000006,10.287000000000006]",25,15,captured pig,3,0,3,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
4,"[""left"",""left"",""left"",""left"",""up"",""left""]","[2.2750000000000057,2.7730000000000246,3.2580000000000098,3.9930000000000234,7.1129999999999995,7.8230000000000075]",25,35,captured pig,4,0,4,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
5,"[""left"",""left"",""down"",""down"",""down""]","[1.6650000000000205,2.4630000000000223,3.0640000000000214,3.511000000000024,3.8910000000000196]",25,55,captured pig,5,0,5,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
6,"[""left"",""left"",""left""]","[2.9679999999999893,3.337999999999994,3.799999999999983]",25,77,captured pig,6,0,6,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
8,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""up"",""down"",""down"",""down""]","[2.2849999999999966,2.8170000000000073,3.3079999999999927,3.7210000000000036,4.217999999999989,5.085000000000008,5.61699999999999,6.900000000000006,7.519999999999982,9.168999999999983,9.870999999999981,10.36699999999999]",25,87,captured pig,8,0,8,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
9,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""down"",""left"",""up"",""up"",""left"",""left"",""up""]","[1.3669999999999902,2.164999999999992,2.5689999999999884,2.8859999999999957,3.650999999999982,4.068999999999988,4.369,6.401999999999987,6.758999999999986,7.352000000000004,8.068999999999988,8.519999999999982,9.068999999999988,9.649000000000001,10.102000000000004,10.506,12.706999999999994,13.302999999999997,13.992999999999995,14.350999999999999,14.611999999999995,14.835999999999984,15.097999999999985,15.568999999999988,16.019000000000005,16.768,17.084000000000003,17.570999999999998,18.269000000000005,18.736999999999995,19.020999999999987,19.704999999999984]",0,62,No points scored,9,0,9,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
10,"[""left"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""right"",""down"",""down"",""right"",""right"",""right"",""up"",""up"",""up""]","[2.390999999999991,2.5509999999999877,2.9369999999999834,3.4569999999999936,4.5049999999999955,4.905000000000001,5.456999999999994,5.837999999999994,6.3419999999999845,7.072000000000003,7.807999999999993,9.157999999999987,9.793999999999983,12.086999999999989,12.625,13.161000000000001,14.032999999999987,14.794999999999987,15.555999999999983,16.756,17.227000000000004,17.87299999999999,18.00799999999998,18.411,20.036999999999978,22.994,28.173999999999978,29.200999999999993,29.575999999999993,29.86099999999999,30.248999999999995,30.71599999999998,30.95399999999998,31.155]",0,37,No points scored,10,0,10,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
11,"[""right"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""right"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""right"",""up"",""up"",""right"",""right"",""right""]","[1.7399999999999523,2.3279999999999745,2.8659999999999854,3.5049999999999955,4.0919999999999845,4.256999999999948,4.822999999999979,5.140999999999963,6.017999999999972,6.574999999999989,7.015999999999963,7.4739999999999895,7.95799999999997,8.370999999999981,8.790999999999997,9.256999999999948,9.468999999999994,9.920999999999992,10.418999999999983,10.954999999999984,11.319999999999993,12.859999999999957]",25,45,captured pig,11,0,11,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
12,"[""left"",""left"",""down"",""down"",""down"",""down"",""right"",""down"",""right"",""right"",""right"",""down"",""down"",""right"",""right"",""right""]","[2.2940000000000396,2.8319999999999936,3.281000000000006,6.0400000000000205,6.319999999999993,6.522000000000048,6.865000000000009,7.549000000000035,7.920999999999992,8.649000000000001,9.170999999999992,9.40300000000002,9.900000000000034,10.40300000000002,10.971000000000004,12.486000000000047]",25,57,captured pig,12,0,12,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
13,"[""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left""]","[4.663000000000011,4.66700000000003,4.978999999999985,5.465000000000032,5.930000000000007,6.543999999999983,16.112000000000023,16.5,16.785000000000025,16.995000000000005,17.197000000000003,17.434000000000026,17.715000000000032,17.966999999999985,18.201999999999998,18.432000000000016]",25,72,captured pig,13,0,13,0,1,268556360125163698,,SymbolicViewB,2020.1.3,Win32,268556360125163698,-3833460055355754253,60
