,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""right"",""down"",""down"",""right"",""left"",""up"",""right"",""right"",""right"",""down"",""down""]","[0.9512499999254942,1.3460549998562783,3.06493499991484,3.583935000002384,5.466109999921173,6.1798099998850375,7.049314999952912,7.865999999921769,9.362449999898672,10.04939499986358,10.415814999956638,10.79831500002183,11.280455000000075,11.949444999918342,13.266244999831542]",25,12,captured pig,3,0,3,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
4,"[""right"",""right"",""down"",""down"",""down"",""left"",""up"",""up"",""up"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""up""]","[1.2592450000811368,1.6947700001765043,2.048295000102371,2.4474550001323223,2.834610000019893,3.110869999974966,5.05265500000678,5.444619999965653,5.805165000027046,6.1556750000454485,6.490540000144392,8.472695000004023,8.977510000113398,9.423510000109673,10.155389999970794,11.622385000111535,12.35655999998562,12.655005000066012,12.922305000014603,13.177795000141487,13.391479999991134,13.62525500007905,14.840370000107214]",25,14,captured pig,4,0,4,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
5,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""up"",""up"",""up""]","[0.6036300000268966,1.067839999916032,1.3658549999818206,1.6976349998731166,2.7322549999225885,3.092994999838993,3.3473699998576194,3.6816499999258667,4.02970499987714,4.617979999864474,4.979044999927282,5.314694999950007,7.497255000052974,7.747229999862611,8.01245000003837]",25,24,captured pig,5,0,5,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
6,"[""down"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""right"",""up"",""right"",""right"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""left"",""down""]","[0.9693499999120831,1.350109999999404,1.7341249999590218,2.0663900000508875,2.335014999844134,2.5187599998898804,2.7015400000382215,2.870104999979958,3.2186799999326468,3.4999750000424683,4.8490649999585,5.184464999940246,5.483199999900535,6.315629999851808,7.400799999944866,8.103069999953732,8.485279999906197,9.053094999864697,9.580450000008568,10.18313999986276,10.632509999908507,11.018930000020191,12.014874999877065,12.205059999832883,12.39985499996692,14.552469999995083,15.28414999996312,16.066549999872223,16.416109999874607]",0,-1,No points scored,6,0,6,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
8,"[""left"",""left"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""down"",""down"",""down"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right""]","[0.7322450000792742,1.1293650001753122,1.5510599999688566,1.9822700000368059,2.2360650000628084,2.4659649999812245,2.9630599999800324,3.4290899999905378,4.912310000043362,6.259250000119209,6.647540000034496,7.219604999991134,8.15345500013791,8.699020000174642,11.446394999977201,14.39621499995701,15.296904999995604,16.69377000001259,17.060694999992847,17.46392500004731,17.84576499997638,18.21339000016451,18.44946500007063,18.79521999997087,18.962109999964014,19.1283650000114,19.29662000015378]",5,-23,Exited through black block,8,0,8,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
9,"[""right"",""right"",""down"",""down"",""down"",""down"",""right"",""left"",""left"",""left"",""left"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up""]","[1.1489949999377131,2.168820000020787,2.8575900001451373,3.414170000003651,4.151270000031218,4.450470000039786,6.440075000049546,7.317470000125468,7.731744999997318,8.548625000054017,9.01600500009954,9.330300000030547,10.983870000112802,12.148305000038818,12.598050000146031,13.547264999942854,13.895694999955595,14.2306900001131,14.59703000006266,16.69831999996677,16.914030000101775,17.046360000036657,17.20585500006564,17.334969999967143,19.648975000018254,19.866494999965653,20.06408499996178,20.463890000013635]",0,-48,No points scored,9,0,9,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
10,"[""left"",""left"",""down"",""down"",""up"",""right"",""up"",""right"",""up"",""up"",""right"",""right"",""right""]","[0.8881999999284744,1.1249949999619275,1.454494999954477,1.6919400000479072,2.6052600000984967,2.9726599999703467,3.2552050000522286,3.7379499999806285,4.256929999915883,4.805845000082627,5.103344999952242,5.2726000000257045,5.70356999989599]",25,-35,captured pig,10,0,10,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
11,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[0.6320899999700487,0.8499700000975281,1.1831050000619143,1.4473650001455098,1.6469950000755489,1.817975000012666,1.9807599999476224,2.1329749999567866,2.297800000058487,2.6481399999465793,2.8002899999264628,2.934869999997318,3.3011400001123548,3.713645000010729,5.6621199999935925]",25,-20,captured pig,11,0,11,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
12,"[""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""left""]","[1.0095949999522418,4.048464999999851,4.0486900000832975,4.048835000023246,4.135269999969751,4.626755000092089,6.4076149999164045,7.190805000020191,7.613069999963045,8.34258499997668,8.823120000073686,9.373635000083596,9.927834999980405,10.94094999996014,11.26191999996081,11.973490000003949,12.889695000136271,13.461670000106096,14.050035000080243,14.458749999990687,15.026409999933094,15.29370000003837,15.476354999933392,15.927330000093207,16.174050000030547,16.390379999997094,16.613510000053793,16.992009999928996,17.224625000031665,17.59008500003256,18.023765000049025,18.40858000004664,18.963280000025406,19.78270999994129]",0,-45,No points scored,12,0,12,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
13,"[""right"",""right"",""right"",""right"",""down"",""down"",""down"",""right"",""down"",""down"",""left"",""left"",""left"",""left"",""right""]","[0.6325850000139326,0.882149999961257,1.0990150000434369,1.3819150000344962,1.5634099999442697,1.8992850000504404,2.299845000030473,2.682109999936074,3.1165199999231845,3.5004499999340624,3.8348149999510497,4.316434999927878,4.6484749999362975,4.981924999970943,6.398019999964163]",25,-29,captured pig,13,0,13,0,1,0,,SymbolicViewB,2020.1.3,MacIntel,-1151589041984724107,-2184906867889703598,60
