,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""left"",""left"",""down"",""right"",""left"",""down"",""down""]","[1.5460000000002765,2.236000000000786,2.8469999999997526,3.157999999999447,3.4539999999997235,4.375,6.818999999999505,7.597999999999956,10.144000000000233,10.424000000000888,11.761000000000422,12.665000000000873,12.958000000000538,13.268000000000029,13.630999999999403,14.439000000000306,14.730999999999767,15.764999999999418,16.175999999999476,16.877000000000407,20.33599999999933,21.43499999999952,23.622999999999593,25.79399999999984,27.451999999999344,28.18000000000029]",25,1,captured pig,3,0,3,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
4,"[""up"",""up"",""up"",""right"",""right"",""down"",""down"",""down"",""left"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up""]","[1.3919999999998254,1.961000000001178,2.2820000000010907,2.6419999999998254,2.9070000000010907,3.424000000000916,3.6869999999999266,4.082000000000363,4.528000000000276,7.659999999999911,8.003000000000668,8.527000000000072,9.048000000000712,9.873999999999853,10.18800000000013,10.52100000000064,11.15899999999965,11.54199999999949,11.875,12.308000000000959,13.095000000001164,13.596999999999781,14.037000000000319,14.50799999999984,14.90400000000048,15.340000000000202,16.095999999999577,16.447000000000116]",25,9,captured pig,4,0,4,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
5,"[""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left""]","[1.2510000000002037,1.5110000000004504,2.129000000000815,2.476000000000539,2.9130000000004657,3.255999999999375,3.596999999999724,4.3710000000010325]",25,28,captured pig,5,0,5,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
6,"[""left"",""left"",""left"",""left"",""down"",""down"",""down"",""right"",""right"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""right"",""down""]","[1.2340000000004352,1.6530000000002758,2.2849999999999113,2.670000000000101,3.5300000000006833,3.8370000000013817,4.114000000001397,5.498999999999853,5.8070000000006985,6.0660000000007415,6.318000000001149,6.369000000000625,6.62300000000144,6.92500000000112,7.355999999999767,7.619000000000625,8.09200000000061,8.683000000000959,8.951000000000931,9.318000000001149,9.328999999999752,9.618000000000421,9.933000000000959,10.274000000001308,10.543999999999897,11.24800000000144,11.45900000000077,11.701000000000931,12.040000000000873,12.085000000000974,12.34100000000035]",0,3,No points scored,6,0,6,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
8,"[""left"",""left"",""right"",""right"",""right"",""down"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""right""]","[1.9549999999998988,2.4029999999984284,2.972999999999928,3.195999999999856,3.4149999999990257,3.9759999999986917,4.295000000000044,4.549999999999216,4.873999999999739,5.1509999999998115,5.5369999999984145,5.87699999999856,6.258999999999986,7.100999999998692,7.383999999999986,7.658999999999651,7.957999999998719]",5,-13,Exited through black block,8,0,8,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
9,"[""left"",""left"",""down"",""down"",""down""]","[2.0169999999998254,2.3250000000007844,3.2749999999996646,3.5630000000001303,3.944999999999709]",25,7,captured pig,9,0,9,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
10,"[""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""right"",""right"",""up"",""up"",""right""]","[1.9420000000009452,2.230999999999767,2.6080000000001746,2.92500000000112,3.6540000000004795,4.426999999999737,4.659999999999911,4.885000000000247,5.460000000000974,6.04199999999949,6.6910000000007415,7.1650000000009015,8.186999999999927,8.701999999999344,11.229999999999592,11.322000000000145,12.19299999999933,12.494000000000625,13.284999999999883,14.031000000000887,14.524999999999665,16.93000000000032,17.159999999999883,17.417999999999637,17.710000000000917,18.076999999999288,18.914000000000698,19.255000000001047,19.5130000000008,19.739999999999753,19.99600000000109,20.476000000000596,20.56199999999987,20.871999999999417,20.87500000000003]",0,-18,No points scored,10,0,10,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
11,"[""up"",""up"",""right"",""right"",""down"",""down"",""down"",""left"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""left"",""up"",""up"",""up"",""left"",""left""]","[1.5570000000006985,1.8629999999993743,2.1750000000010914,2.4470000000001164,2.7129999999996812,2.9940000000005966,3.8770000000004075,4.279000000000451,4.855999999999767,5.166000000001134,5.459000000000742,5.746999999999332,6.045000000000073,6.466000000000349,6.934000000001106,7.257999999999811,7.59900000000016,7.9950000000008,8.377000000000407,8.782000000001062,9.442000000000917,9.905000000000655,10.834000000000742,11.310999999999694,11.89500000000038,12.509000000000015,13.029000000000451,13.523999999999432,14.34100000000035,15.728000000000975,16.43100000000055,17.02000000000038,17.60499999999962,18.230999999999767,18.907000000001062,19.541000000001134,21.094000000001017,21.484000000000435,22.143000000000086,22.189000000000306,23.30999999999949,23.73999999999978,24.175999999999476,25.17500000000109,25.52900000000045]",5,-38,Exited through black block,11,0,11,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
12,"[""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down""]","[1.632000000001426,1.8540000000012355,2.2550000000010186,2.522000000000844,2.743000000000393,3.452000000001135,3.7220000000015716,3.9440000000013242]",25,-20,captured pig,12,0,12,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
13,"[""right"",""right"",""down"",""down"",""left"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""left"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right""]","[1.2909999999993147,1.510999999998603,1.9380000000001019,2.2729999999992287,2.7069999999985157,3.168999999999869,3.474999999998545,3.764999999999418,4.063999999998487,4.389999999999418,5.451999999999259,5.752999999998849,6.081000000000074,6.411000000000058,6.666999999999462,7.427999999999884,7.769999999998561,8.33599999999933,8.657999999999447,9.037000000000262,9.36199999999917,9.697000000000116,10.025999999999897,10.318999999999505,16.21599999999853,16.424999999999272,16.68199999999888,18.081999999998516,18.52299999999923,18.990999999999985,20.15300000000019,20.479999999999563,20.730999999999767]",5,-32,Exited through black block,13,0,13,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
14,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""right""]","[1.6270000000004075,1.9290000000000873,2.6149999999997817,2.975000000000364,3.8429999999989946,4.2849999999998545,4.979999999999563,5.397999999999172,6.191999999999098,6.826999999999316,7.109000000000378,7.738999999999521,8.048999999999069,8.363999999999521,8.781999999999243,9.251000000000204,9.80199999999968,10.272999999999172,10.700999999999055,11.173999999999069,11.644000000000233,12.064000000000306,12.065999999998894]",5,-40,Exited through black block,14,0,14,0,1,4774142461229647984,,SymbolicViewB,2020.1.3,Win32,162456442802260082,-3602977557382940315,60
