,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""down"",""down""]","[3.950644999999014,4.354844999999813,4.869449999998324,5.050379999998739,5.210069999999149,5.35655499999848]",25,20,captured pig,3,0,3,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
4,"[""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""down"",""up"",""up"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right""]","[3.6143599999995786,4.225684999999459,9.37260000000063,9.57897000000051,9.923650000000691,10.303570000000093,10.813259999999048,11.019899999999325,17.41239499999938,17.816789999998974,18.63323499999936,19.46762999999919,19.901314999999215,20.33302999999981,20.501860000000363,20.65142999999992,21.419700000000404,21.585714999999283,21.754179999999963,21.894814999999653,22.044244999999165,22.420739999999597]",25,23,captured pig,4,0,4,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
5,"[""left"",""left"",""left"",""left"",""down""]","[1.3144950000005622,1.5310499999996239,1.6911600000002807,1.8242399999998895,2.249579999999696]",25,43,captured pig,5,0,5,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
6,"[""right"",""right"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""left"",""left"",""left"",""down"",""down"",""up"",""up"",""up"",""right"",""up"",""up"",""up"",""down"",""down"",""down"",""down""]","[2.059994999999617,2.506494999999603,2.8345150000004367,3.1863499999999476,3.483654999999999,4.454690000000511,7.500545000000756,8.140900000000357,8.505295000000814,8.847380000001095,8.99423999999999,9.212230000001,9.664730000000418,10.008335000000471,11.933740000000398,12.32811000000035,12.713520000001154,12.981385000000984,14.644115000000937,14.796905000001033,15.053555000000443,17.926639999999708,18.30384000000049,20.392410000000382,20.55577500000072]",0,18,No points scored,6,0,6,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
8,"[""left"",""left"",""left"",""left""]","[1.2887350000000595,7.855404999998399,10.445709999999934,15.840639999998501]",25,44,captured pig,8,0,8,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
9,"[""left"",""left"",""left"",""left""]","[6.789769999999464,7.009920000000363,7.167910000000177,8.687384999999267]",25,66,captured pig,9,0,9,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
10,"[""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""right"",""right""]","[1.4181750000006446,1.6013400000010733,2.741925000000265,3.6797349999996527,3.837585000001127,6.54770500000086,6.818859999999404,7.150929999999789,15.951755000000048,16.166215000001102,16.332604999999603,16.61064000000073,18.059175000000323,18.204944999999555,20.349099999999453,20.519295000000113,20.7174500000001,21.46744000000035,22.62563500000033,24.179355000000214,24.532979999999952,24.679535000001124,25.492674999999508,25.657859999999346,26.35413999999946,26.745520000000397,26.97257499999978]",0,41,No points scored,10,0,10,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
11,"[""left"",""left"",""down"",""down"",""down"",""left""]","[1.4377600000007078,1.6560100000006628,1.9192899999998758,2.055930000000444,2.254419999999243,3.1252999999996973]",25,60,captured pig,11,0,11,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
12,"[""left"",""left"",""right"",""right"",""right"",""right"",""down"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""up""]","[1.4287899999999922,1.6095949999999561,2.2274899999993636,2.392309999999327,2.533704999999884,2.7250949999998397,3.575520000000381,4.614094999999054,4.821014999999591,5.597859999999912,5.913324999999588,6.064445000000035,6.217759999999544,6.348884999999427,6.499719999999911,6.799310000000389,7.247059999999749,8.096454999999082,10.366125000000466,10.740009999999586]",25,66,captured pig,12,0,12,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
13,"[""left"",""left"",""left"",""left"",""left""]","[3.6774350000014806,3.9160900000006222,4.163910000001124,4.738235000000657,5.355575000001409]",25,87,captured pig,13,0,13,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
14,"[""left"",""left"",""left"",""left"",""left""]","[1.6115950000003068,5.117645000000266,5.2427499999994325,8.831974999999147,9.198135000000548]",25,108,captured pig,14,0,14,0,1,8521607747893364391,,SymbolicViewB,2020.1.3,Win32,1604078720252282538,1381199811722973252,60
