,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""down"",""left""]","[2.744200000015553,3.1808450000244193,3.7920350000204053,4.119185000017751,4.672305000014603,5.225220000022091,5.963080000015907,8.388825000001816,11.292365000001155,12.603600000002189,12.969429999997374,13.704425000003539,14.107445000001462,15.007540000020526,15.322150000021793,17.482105000002775,18.38518500002101,18.67860000001383,18.977905000007013,22.832775000017136,23.64089999999851,27.80147500001476,29.18807000000379,29.831925000005867,30.337695000023814,30.71254000000772,31.19208000000799]",0,-25,No points scored,3,0,3,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
4,"[""left"",""left"",""down"",""down"",""down"",""down"",""right"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""up"",""up"",""up"",""up""]","[4.074835000006715,4.655305000022054,5.5370050000201445,6.670395000022836,7.163410000008298,7.686495000001742,9.892135000001872,13.634734999999637,14.41370000000461,14.531810000014957,15.55918500002008,16.827229999995325,18.076109999994515,28.87801000001491,30.771000000007916,30.991479999996955,35.05835000000661,36.70010000001639,37.77558000001591,38.58579500002088,39.02459000001545,39.35906499999692,39.67288500000723]",25,-21,captured pig,4,0,4,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
5,"[""left"",""right"",""right"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""up"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""right"",""right"",""right"",""down"",""down"",""right""]","[2.1578999999910593,10.429154999990715,11.02056000000448,11.918154999992112,12.240655000001425,13.246825000009267,14.145785000000615,14.849174999981187,16.33330999998725,17.521049999981187,17.91933499998413,18.74700999999186,19.528109999984736,22.198730000003707,23.61654499999713,45.99320999998599,46.75151000000187,47.21501499999431,47.770040000003064,48.336599999980535,76.45326999999816,77.93806499999482,78.30259999999544,78.87300999998115,79.80182500000228,80.98718500000541,82.40060500000254,88.16118500000448,89.32311500000651,90.36418999999296,91.85381000000052,93.2455599999812,95.30358999999589]",0,-46,No points scored,5,0,5,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
6,"[""right"",""down"",""down"",""down"",""down"",""down"",""right"",""left"",""left"",""left"",""right"",""right"",""up"",""up"",""up"",""left"",""left"",""left"",""right"",""right"",""right"",""left""]","[2.495970000018133,4.601805000012973,6.476350000011735,7.298475000017788,7.6754150000051595,8.009305000014137,8.701390000001993,9.568915000010747,9.94754500000272,10.247295000008307,44.055145000020275,44.65045499999542,47.118020000023535,47.569080000015674,48.10296499999822,48.52139999999781,48.980535000009695,49.684565000003204,50.80165500001749,51.066565000015544,51.68482500000391,52.10580000001937]",25,-36,captured pig,6,0,6,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
8,"[""up"",""up"",""up"",""up"",""down"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left""]","[2.3531850000144914,2.9965899999951944,3.4469800000078976,3.8932300000160467,4.855600000009872,5.163055000011809,5.611789999995381,6.047634999995353,6.283504999999423,6.728395000012824,7.311305000010179,8.159574999997858,8.530885000014678,8.893570000014734,9.149254999996629,9.412370000005467,9.892125000013039,10.111590000014985,10.382780000014463,10.716035000019474,11.235470000014175,11.432850000011967,11.82964500001981,12.294510000006994]",25,-50,captured pig,8,0,8,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
9,"[""down"",""down"",""down"",""down"",""left"",""left"",""left"",""down"",""down"",""down"",""up"",""right"",""right"",""right"",""left"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up""]","[1.8371299999998882,1.991600000008475,2.3327750000171363,2.503694999992149,2.7222100000071805,3.208344999991823,3.4854950000008103,4.00510999999824,4.206700000009732,4.561435000010533,4.93572999999742,5.289435000013327,5.675595000007888,6.00132000001031,6.425645000010263,6.992425000004005,7.158129999996163,7.351315000007162,7.529494999995222,7.7402100000181235,8.276970000006258,8.541635000001406,8.954185000009602,9.256965000007767,9.57331000000704,9.922770000004675,10.144040000013774,10.3735250000027,10.615820000006352,11.188790000014706,11.511520000000019,11.825940000009723,12.22834500001045,12.754255000007106,13.278335000009974,13.98863999999594,14.270474999997532,14.464535000006435,14.640780000016093]",0,-75,No points scored,9,0,9,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
10,"[""down"",""down"",""right"",""right"",""right"",""down"",""down"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""up""]","[11.963504999992438,12.07670499998494,12.435844999999972,12.715469999995548,12.863080000010086,13.730799999990268,14.151179999986198,14.396355000004405,14.829965000011725,15.219485000008717,15.84531999999308,16.081154999992577,16.406664999987697,16.89900000000489,22.02507999999216,22.5337700000091,22.74684000000707,23.7314250000054,23.95472000000882,24.138019999983953,24.35902500001248,24.538180000003194,24.749104999995325,25.00059000001056,25.596850000001723,25.865419999987353,26.25156999999308,26.65226500001154,26.96875,27.13831000000937,27.402479999989737,27.71426999999676,28.013440000009723,29.267259999993257,29.582634999998845,29.934110000001965,30.350854999996955,30.54972499998985,50.64674999998533,50.83496000000741,51.05243999999948,51.88419499999145,52.08385999998427,52.347910000011325,52.68776000000071]",0,-100,No points scored,10,0,10,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
11,"[""down"",""down"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""left"",""left""]","[1.5346750000026077,1.7885599999863189,2.014064999995753,2.331514999998035,2.9466799999936484,3.1655699999828357,3.348549999995157,3.566534999990836,3.880059999995865,4.964710000000196,5.151110000006156,5.401759999978822,5.605999999999767,9.184344999986934,9.486264999984996,9.730019999988144,9.990965000004508,10.232014999986859,10.513825000001816,10.80728999999701,11.035494999989169,11.247829999978421,11.453294999984792,11.899825000000419,12.589875000005122,12.591499999980442,12.608469999977387,12.609309999999823,12.818279999977676,13.015530000004219,13.326139999990119,13.60058499997831,14.383609999989858,15.002110000001267,15.430334999982733,15.76188999999431,16.048030000005383,16.43635499998345,16.76866999999038,17.048534999979893,17.350669999985257,17.65196499999729,18.000009999988833,18.225964999990538,18.60227499998291]",0,-125,No points scored,11,0,11,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
12,"[""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left""]","[1.5039150000084192,1.6925500000070315,1.9445100000011735,2.0811549999925774,2.3061150000139605,2.609345000004396,2.8506950000009965,3.4760950000199955,3.9119599999976344,4.210915000003297,4.552320000017062,4.791945000004489]",25,-105,captured pig,12,0,12,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
13,"[""up"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""up"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""right"",""up"",""right"",""right"",""right""]","[1.3831049999862444,2.2312099999981,3.1972050000040326,3.68321499999729,4.197534999984782,4.682124999992084,5.126190000009956,5.430709999985993,5.728434999997262,6.0692850000050385,6.398979999998119,6.897995000006631,7.230665000010049,7.563859999994747,8.247104999987641,8.464854999998352,9.446254999988014,10.56269500000053,10.943815000005998,12.213859999988927,13.533009999984642,14.36752999998862,14.729034999996657,15.326525000011316,16.37893000000622]",5,-117,Exited through black block,13,0,13,0,1,-3864322444080558379,,SymbolicViewB,2020.1.3,MacIntel,-1558479434866864428,-8265967957263114330,60
