,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""right"",""right"",""down"",""down"",""down"",""left""]","[1.01973500000895,1.5040049999952316,1.8527199999953154,2.3847900000109803,2.7390599999926053,3.2543899999873247]",25,19,captured pig,3,0,3,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
4,"[""left"",""left"",""down"",""down"",""down"",""left""]","[1.0754200000083074,1.4938949999923352,1.812195000005886,2.1631900000211317,2.593105000007199,2.9599750000052154]",25,38,captured pig,4,0,4,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
5,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""down"",""up"",""up"",""left"",""left"",""left"",""up"",""up"",""down"",""down"",""left"",""down"",""down""]","[1.377875000005588,1.8067850000225008,2.092495000018971,2.3834400000050664,3.084709999995539,3.509075000009034,5.8246150000195485,6.142285000008997,6.60737500002142,7.07506000000285,10.312640000018291,10.892280000000028,11.992985000018962,16.02439500001492,17.342015000001993,18.060215000004973,18.593080000020564,18.8941900000209,19.12801000001491,19.41128500000923,19.873814999999013,20.66103000001749,21.32653500000015,21.86149999999907,22.243705000000773,22.47948000000906,22.77665500002331]",0,13,No points scored,5,0,5,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
6,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right""]","[1.6829650000145193,2.183805000007851,2.5648849999997765,2.9288400000077672,3.298834999994142,3.6666649999970105,3.996820000000298,4.329714999999851,4.680129999993369,7.093644999986282,8.14777499999036,8.830274999985704,9.163380000012694,9.547060000011697,10.063614999991842,10.531355000013718,14.750494999985676,15.500975000002654,16.001599999988684,16.82570499999565,17.564214999991236,18.199909999995725,18.545784999994794,18.98486500000581,24.285425000009127,24.612605000002077,25.31341999999131]",0,-12,No points scored,6,0,6,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
8,"[""right"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left""]","[1.0262199999997392,1.7414599999901839,2.459340000001248,2.9228499999735504,3.7526399999915157,3.993014999985462,4.263614999974379,4.6611249999841675,5.060984999989159,5.376214999996591,5.590324999997392,5.846299999975599,6.346199999999953,6.692714999982854]",25,-3,captured pig,8,0,8,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
9,"[""right"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""left"",""left"",""right"",""right"",""right"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""right"",""right""]","[0.8629450000007637,1.3790349999908358,2.092399999994086,2.629959999991115,2.998540000000503,3.3292200000141747,3.744574999989709,3.963034999993397,4.210330000001704,4.5949949999921955,4.961015000008047,5.962139999988722,6.295845000015106,6.744810000003781,7.562440000008792,7.993725000007544,8.411944999999832,8.911614999989979,9.245335000014165,9.495960000000196,9.742230000003474,10.029769999993732,10.246394999994664,10.646334999997634,11.903129999991506,12.703580000001239,12.930110000015702]",0,-28,No points scored,9,0,9,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
10,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""left"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""up"",""up""]","[1.0708600000070874,1.4660800000128802,2.736880000011297,4.0645150000054855,4.465129999996861,4.8308149999938905,5.097134999989066,5.346690000005765,6.078869999997551,6.862974999996368,7.098625000013271,7.395985000010114,7.681749999988824,8.115580000012415,8.332655000005616,8.629095000011148,9.46551000000909,9.699374999996508,10.198449999996228,10.450810000009369,10.78291999999783,11.035455000004731,11.415964999992866,11.817440000013448,13.41562499999418,17.769939999998314]",0,-53,No points scored,10,0,10,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
11,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""down"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up""]","[1.0005100000125822,1.4166150000237394,1.9155900000187103,2.4162599999981467,2.867340000026161,3.34935500001302,4.599350000004051,5.447990000015125,5.865920000011101,6.549085000006016,6.9475900000252295,7.300325000018347,7.805084999999963,8.149270000023535,8.635110000002896,8.983665000007022,9.44926000002306,9.980700000014622,10.717564999999013,12.620645000017248,15.785590000014054,16.33795500002452,17.414710000011837,19.38379000002169,19.703160000004573,25.352855000004638]",0,-78,No points scored,11,0,11,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
12,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right""]","[1.5679899999813642,1.894849999982398,2.4097899999760557,2.676514999999199,2.9951399999845307,3.4770750000025146,3.8292749999964144,4.311984999978449,4.81137999999919,5.331229999981588,5.676729999977397,5.9804650000005495,6.342784999986179,6.662014999979874,7.812944999983301,8.080759999982547,8.76170999999158,9.112280000001192,9.7303649999958,10.028229999996256,10.445119999989402,11.530455000000075,13.112909999996191,16.778384999983246,17.09773499998846,17.482445000001462]",0,-103,No points scored,12,0,12,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
13,"[""right"",""right"",""down"",""down"",""down"",""left"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up""]","[3.1942350000026636,3.8516799999924842,4.1956650000065565,4.496820000000298,5.098185000009835,5.658504999999423,6.194309999991674,6.628035000001546,7.047015000018291,7.42738000000827,7.745900000008987,8.877200000017183,10.063385000015842,25.781164999993052,26.330515000008745,26.613669999991544,27.029450000001816,29.553019999992102]",25,-95,captured pig,13,0,13,0,1,7849420519231914751,,SymbolicViewB,2020.1.3,MacIntel,931891491590832898,8054283718629993724,60
