,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""left"",""left"",""left""]","[1.1654999999445863,1.3541299999924377,1.5150699999649078,1.658019999973476,1.817589999991469]",25,22,captured pig,3,0,3,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
4,"[""left"",""left"",""down"",""down"",""down"",""down""]","[6.6703749999869615,6.93956500000786,7.4194400000269525,7.611600000003818,7.819430000032298,8.027750000008382]",25,42,captured pig,4,0,4,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
5,"[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""down""]","[1.4625850000302307,1.6542950000148267,1.8303000000305474,2.0224550000275485,2.3752900000545196,2.6079700000118464,3.3515650000190362,3.5741000000271015,3.8783500000135973,4.214000000036322,4.4220250000362284,4.646415000024717,5.09404000005452,5.401435000007041,6.150950000039302,7.158390000055078,7.510490000015125]",25,58,captured pig,5,0,5,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
6,"[""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[2.1581700000097044,2.4124549999833107,2.591024999972433,2.7509250000002794,2.907970000000205,3.2439850000082515,3.435989999969024]",25,79,captured pig,6,0,6,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
8,"[""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""right"",""right""]","[1.485945000022184,1.8537450000294484,2.445705000020098,2.621775000006892,2.8006500000483356,2.973660000017844,3.501525000028778,3.662410000048112,3.8379850000492297,4.030110000050627,4.205905000038911,4.86171500000637,5.053790000034496,5.40572500001872,5.773985000036191,6.269995000038762,6.42974500003038,6.893530000001192,7.085770000005141,7.277710000053048,7.517600000021048,7.837650000001304,8.301415000052657,8.493850000028033,8.957909999997355,9.133960000006482,9.309885000053328,9.485704999999143,9.677765000029467,10.000675000017509,10.14204000000609]",0,52,No points scored,8,0,8,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
9,"[""left"",""left"",""left"",""left"",""left"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right""]","[1.1342900000163354,1.3100400000112131,1.438045000017155,1.5976750000263564,1.7743200000259094,2.0661899999831803,2.4137200000113808,3.1977249999763444,3.3580199999851175,3.613820000027772,4.590045000019018,4.749914999993052,4.899184999987483,5.070334999996703,5.26363499998115,5.700100000016391,5.861369999998715,6.030230000033043]",25,65,captured pig,9,0,9,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
10,"[""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right""]","[1.1189550000126474,1.5026700000162236,1.6786450000363402,1.8706500000553206,2.1082300000125542,2.3026150000514463,2.5121950000175275,3.0224400000297464,3.4226550000021234,3.6494900000398047]",25,84,captured pig,10,0,10,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
11,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""right""]","[1.4925999999977648,1.7031899999710731,2.276179999986198,2.4733249999699183,2.660295000008773,3.395829999994021,3.57189500000095,3.734249999979511,3.9877700000070035]",5,80,Exited through black block,11,0,11,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
12,"[""right"",""right"",""down"",""down"",""down""]","[1.3320049999747425,1.5402650000178255,2.0366400000057183,2.276944999990519,2.483345000015106]",25,100,captured pig,12,0,12,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
13,"[""right"",""right"",""down"",""down"",""down"",""down"",""down""]","[1.4283200000063516,1.683489999966696,2.4517749999649823,2.643739999970421,2.8199949999689125,3.0277549999882467,3.2038249999750406]",25,118,captured pig,13,0,13,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
14,"[""right"",""right"",""left"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up""]","[0.9680200000293553,1.1576549999881536,2.1176850000047125,2.293650000006892,2.693570000003092,3.013600000005681,3.1581199999782257,3.3533649999881163,3.8620799999916926,4.038140000018757,4.214099999982864,6.585680000018328,7.384435000014491,7.446219999983441,7.717730000033043,7.925694999983534,8.361634999979287,8.853854999993928,9.638024999992922,10.230534999980591,10.629480000003241]",25,124,captured pig,14,0,14,0,1,0,,SymbolicViewB,2020.1.3,Win32,1462850534118103599,-3867274503625793647,60
