,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left""]","[1.5168500000145286,2.0872000000672415,4.314035000046715,4.623890000046231,6.08789500000421,6.93941500002984,10.45793999999296,11.164895000052638,12.284435000037774,12.553275000071153,12.934230000013486,13.49311999999918,13.761975000030361,15.011969999992289,15.13717500003986,15.31277499999851,15.511445000069216,15.846325000049546]",25,9,captured pig,3,0,3,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
4,"[""left"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""up"",""up"",""up""]","[2.856705000041984,4.210309999994934,4.887395000085235,6.092505000066012,6.987000000081025,7.6973650000290945,8.591669999994338,9.389309999998659,10.531775000039488,10.864140000077896,11.59421500004828,12.384150000056252,12.554400000022724,12.849374999990687,13.165955000091344,13.477004999993369,13.752674999996088,13.89116500003729,14.252550000092015,14.75151500001084,15.410765000036918,15.688680000021122]",25,13,captured pig,4,0,4,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
5,"[""left"",""left"",""down"",""down"",""down""]","[1.3336149998940527,3.2617349999491125,3.7809949999209493,4.185339999967255,4.3446299999486655]",25,33,captured pig,5,0,5,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
6,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""right"",""right""]","[2.6341999999713153,2.6345499999588355,3.3951149999629706,4.081635000067763,6.493815000052564,10.309224999975413,10.939305000007153,13.25742000003811,13.704705000040121,15.089234999963082,15.891760000027716,16.517270000069402,16.924115000059828]",5,25,Exited through black block,6,0,6,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
8,"[""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up""]","[0.9191150000551715,1.3781350000062957,2.0758150001056492,2.5043600000208244,2.7243100000778213,3.320170000079088,3.6456900000339374,4.426795000093989,4.89344000001438,6.284770000027493,7.708169999998063,7.9151200000196695,8.093504999997094,8.285560000105761,8.489935000077821,9.377590000047348,9.509745000046678,9.636230000061914,9.774070000043139,9.91065500001423,10.135675000026822,10.492455000057817,10.957725000102073,12.591465000063181,13.116295000072569,13.70807000005152,15.541090000071563,17.274325000005774,17.705820000031963,18.177045000018552,18.94170500000473]",0,-2,No points scored,8,0,8,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
9,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right""]","[0.9507150000426918,1.3702850000699982,1.8146399999968708,2.4824599999701604,2.9054650000762194,4.373020000057295,4.509265000000596,5.092595000052825,5.37066000001505,5.885980000020936]",25,13,captured pig,9,0,9,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
10,"[""right"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down""]","[0.6491300000343472,1.2209899999434128,3.672370000043884,3.6728900000452995,3.6733450000174344,4.661145000020042,5.326104999985546,6.068680000025779,7.385320000001229,9.855884999968112,12.306205000029877,13.046319999964908,13.571074999985285,14.993709999951534,16.42159000004176,16.825014999951236,17.48849999997765,19.871930000022985,19.9541400000453,21.427224999992177,21.849060000036843]",25,25,captured pig,10,0,10,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
11,"[""right"",""right"",""down"",""down"",""up"",""up"",""down"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""down"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""up""]","[1.1953249999787658,2.150804999982938,2.811809999984689,3.1150549999438226,7.27058000001125,9.194279999937862,11.922819999977946,11.923504999955185,11.988499999977648,14.247604999924079,16.150569999939762,16.833009999943897,20.272904999903403,20.77821999997832,20.97716499993112,21.778449999983422,22.02212499990128,22.466324999928474,22.65949999995064,22.822210000013,23.11730499996338,23.30039999994915,23.633499999996275,23.93131999997422,24.238810000009835,24.986089999903925,26.513459999929182,28.238139999913983,30.065844999975525]",0,0,No points scored,11,0,11,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
12,"[""right"",""right"",""left"",""left"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""up"",""up"",""up"",""right"",""right""]","[0.6909349999623373,1.5978500000201166,1.718544999952428,1.913715000031516,2.373950000037439,2.7660850000102073,3.096434999955818,3.217449999996461,3.395090000005439,3.48148499999661,3.618559999973513,3.7273699999786913,4.017190000042319,4.166605000034906,4.419140000012703,5.139680000022054,5.986230000038631,6.257014999981038,7.4179000000003725,8.585465000011027,9.922905000043102,10.688925000024028,10.951624999986961,11.170780000044033,11.734754999983124,11.921710000024177,12.250130000058562,12.592440000036731,12.886674999957904]",0,-25,No points scored,12,0,12,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
13,"[""up"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""left"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]","[1.1410150000592694,2.051895000040531,2.637415000004694,5.206200000015087,6.349575000000186,19.47177499998361,19.4746799999848,19.475734999985434,19.476335000013933,19.476909999968484,19.477515000035055,19.478239999967627,19.479590000002645,19.480280000017956,20.53101500007324,21.090960000059567,22.10456999996677,22.371515000006184,22.860564999980852,23.436370000010356,24.101774999988265]",25,-12,captured pig,13,0,13,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
14,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]","[2.3013749999227002,2.7327799999620765,3.3581949999788776,3.9662849999731407,5.290210000006482,6.572189999977127,7.625649999943562,8.165849999990314,11.102465000003576,12.481214999919757]",25,5,captured pig,14,0,14,0,1,4762495446635092475,,SymbolicViewB,2020.1.3,Win32,150809428207704573,2788595865858009508,60
