,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left""]","[0.875,1.0729999999748543,1.790999999968335,1.993999999947846,2.3199999999487773,2.7299999999813735,2.925000000046566,3.0820000000530854,4.366000000038184,4.5]",25,17,captured pig,3,0,3,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
4,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right""]","[0.9959999999264255,1.2129999999888241,1.4029999999329448,1.6739999999990687,1.834999999962747,1.97199999995064,2.212999999988824,2.434000000008382,2.5699999999487773,2.878999999957159,3.015999999945052,3.4229999999515712,3.606999999959953,3.7239999999292195,3.8389999999199063,4.925999999977648,5.260000000009313,5.697999999974854,5.888999999966472]",5,7,Exited through black block,4,0,4,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
5,"[""left"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left""]","[0.9829999998910353,1.371999999973923,1.5559999999823049,1.7339999999385327,2.7269999999552965,2.887999999918975,2.9959999999264255,3.103000000002794,3.2369999999646097]",25,24,captured pig,5,0,5,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
6,"[""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""right"",""right"",""up"",""right"",""right"",""right""]","[0.5459999999729916,0.7319999999599531,0.8420000000623986,0.9529999999795109,1.1700000000419095,1.4649999999674037,1.6289999999571592,1.684000000008382,1.7800000000279397,2.106999999959953,2.271000000066124,2.4080000000540167,2.5230000000447035,2.9390000000130385,3.075000000069849,3.2079999999841675,4.445000000065193,4.670999999972992,4.962999999988824,5.559000000008382,5.760000000009313,5.9390000000130385]",5,10,Exited through black block,6,0,6,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
8,"[""down"",""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""left""]","[0.7079999999841675,1.3269999999320135,1.7369999999646097,1.9839999999385327,2.1489999999757856,2.287000000011176,3.878999999957159,4.040999999968335,4.1700000000419095,4.658999999985099,4.966999999945983,5.527000000001863,5.743999999947846,6.000999999931082,6.197999999974854,6.38800000003539,7.194000000017695]",25,13,captured pig,8,0,8,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
9,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.1639999999897555,1.3730000000214204,1.9729999999981374,2.1419999999925494,2.2800000000279397,2.415999999968335,2.552999999956228,2.8889999999664724,3.650000000023283,3.9899999999906868,5.1260000000474975,5.2920000000158325,5.518000000040047,5.9170000000158325,6.079000000027008,6.265999999945052,6.462999999988824,6.949999999953434,7.243000000016764,8.187999999965541,8.216000000014901,8.332000000053085,8.444999999948777]",5,-3,Exited through black block,9,0,9,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
10,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.0939999999245629,1.3649999999906868,1.793999999994412,1.9619999999413267,2.1520000000018626,2.365999999921769,2.5249999999068677,2.6359999999403954,2.7709999999497086,3.3199999999487773,3.519999999902211,3.658999999985099]",25,14,captured pig,10,0,10,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
11,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""up"",""up"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down""]","[0.7029999999795109,0.8669999999692664,0.9919999999692664,1.2979999999515712,1.459999999962747,1.603999999933876,1.7239999999292195,2.01500000001397,2.2639999999664724,2.430999999982305,2.780999999959022,3.0080000000307336,3.228000000002794,3.4270000000251457,3.5609999999869615,3.775999999954365,3.966000000014901,4.121999999973923,4.24800000002142,4.356999999959953]",25,22,captured pig,11,0,11,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
12,"[""right"",""right"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left""]","[0.8229999999748543,0.9609999998938292,1.3329999999841675,1.5279999999329448,1.9359999999869615,2.1359999999403954,2.4889999999431893,2.6829999999608845,2.887999999918975,3.049999999930151,3.1639999999897555,3.4959999999264255,3.7049999999580905,3.8709999999264255,4.183999999891967]",25,33,captured pig,12,0,12,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
13,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""up"",""up"",""left"",""left"",""left"",""left""]","[0.7989999999990687,0.9609999998938292,1.0760000000009313,1.350999999907799,1.5119999999878928,1.6509999999543652,1.787999999942258,2.040999999968335,2.35999999998603,2.5,2.8519999999552965,2.9889999999431893,3.1169999999692664,3.212999999988824]",25,46,captured pig,13,0,13,0,1,0,,SymbolicViewB,2020.1.3,Win32,-1541859185227464480,-4037627691012953423,60
