,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""right"",""up"",""up"",""up"",""up"",""up"",""up"",""down"",""up"",""up"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""up""]","[1.1995050003752112,2.0145200002007186,2.814445000141859,4.562790000345558,5.924375000409782,6.335115000139922,6.779285000171512,7.07835500035435,7.599420000333339,8.724610000383109,9.72861500037834,10.596095000393689,10.778850000351667,11.695090000052005,12.172765000257641,12.439010000322014,13.324020000174642,14.02619000012055,15.742580000311136,16.237220000009984,17.226555000059307,17.60421000001952,18.386735000181943,18.7869649999775,19.58879500022158,20.15281999995932,20.372850000392646,20.71240000007674,21.623880000319332,23.373045000247657,27.354955000337213]",0,-25,No points scored,3,0,3,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
4,"[""left"",""left"",""down"",""down"",""down""]","[1.6536500002257526,2.0902800001204014,2.5674049998633564,2.829985000193119,3.0455849999561906]",25,-5,captured pig,4,0,4,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
5,"[""down"",""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""up"",""left"",""left"",""left"",""up"",""up"",""up"",""right"",""down"",""down"",""down"",""right"",""right""]","[0.8983849999494851,1.560279999859631,2.4432899998500943,2.8471450000070035,3.325670000165701,3.880925000179559,4.0422550002112985,4.768205000087619,5.308335000183433,5.959054999984801,6.362540000118315,7.174730000086129,7.724795000161976,8.2311149998568,9.65868500014767,23.851300000213087,29.85613500000909,30.850475000217557,39.995860000140965,40.982139999978244,42.32850500009954,42.579619999974966,42.87988999998197,43.36167500028387,56.24215000029653,56.626240000128746,57.34224499994889,57.720455000177026,58.01364000001922,58.300164999905974,58.389255000278354,58.6757749998942]",0,-30,No points scored,5,0,5,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
6,"[""left"",""down"",""left"",""down"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left""]","[1.2716299998573959,1.9457249999977648,2.4628050001338124,2.955494999885559,3.3874149997718632,3.757499999832362,4.284529999829829,4.5943149998784065,5.883580000139773,6.091244999784976,6.245924999937415,6.4603200000710785,7.025539999827743,7.887285000178963]",25,-18,captured pig,6,0,6,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
8,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""up"",""right"",""up"",""up"",""up""]","[1.1792399999685585,1.5018649999983609,1.8909450001083314,2.2765399999916553,2.4191999998874962,3.162955000065267,4.336709999945015,6.174450000282377,6.383154999930412,6.4808849999681115,6.931185000110418,8.919125000014901,9.660200000274926]",25,-7,captured pig,8,0,8,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
9,"[""down"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up""]","[0.8219349998980761,1.0999099998734891,1.9496100000105798,4.688379999715835,5.190169999841601,5.7903549997136,8.74980999995023,9.291319999843836,9.76632499974221,11.938755000010133,12.266779999714345,13.244105000048876,13.860295000020415,14.223214999772608,17.39409999968484,17.66010499978438,17.899719999637455,18.13492999970913,18.973719999659806,19.80383999971673]",25,1,captured pig,9,0,9,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
10,"[""left"",""left"",""down"",""down"",""right"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""down""]","[1.1929550003260374,1.5582950003445148,1.9255500002764165,2.356815000064671,3.4295950001105666,3.7291400004178286,4.001500000245869,4.402355000376701,4.811890000011772,5.141380000393838,5.8222550000064075,6.268745000008494,8.171065000351518,8.54837500024587,9.382885000202805,9.575680000241846,9.76861000014469,9.931749999988824,10.134070000145584,10.27472500037402]",25,8,captured pig,10,0,10,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
11,"[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""left"",""up"",""up""]","[2.096380000002682,2.8475649999454618,3.327260000165552,4.581100000068545,4.847450000233948,5.103360000066459,5.329820000100881,5.56285999994725,6.195809999946505,6.388135000132024,6.593725000042468,6.95356999989599,7.140980000142008,7.284435000270605,7.443955000024289,7.56313499994576,7.710870000068098,8.770560000091791,8.976679999846965,11.561689999885857,12.339335000142455,13.644950000103563,13.99820000026375,14.38567000022158,16.840455000288785,21.86818000022322,22.38626499986276,23.794054999947548,24.268740000203252,24.855365000199527,25.08678500028327]",25,15,captured pig,11,0,11,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
12,"[""right"",""right"",""right"",""down"",""down"",""down""]","[3.373880000319332,3.9543400001712143,4.616470000240952,4.768480000086129,4.98359000030905,5.143790000118315]",25,35,captured pig,12,0,12,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
13,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down""]","[1.991880000103265,2.458139999769628,2.7073849998414516,3.158650000113994,3.32439999980852,3.4583049998618662,3.592865000013262,3.9151949998922646,4.0647399998269975,4.36382000008598,4.591819999739528,4.725114999804646,4.863614999689162,6.488929999992251,6.887199999764562,7.155400000046939,7.485725000035018,7.622624999843538,7.882565000094473,8.186385000124574,13.057899999897927,13.435184999834746,14.32079999987036,15.303414999973029,17.541104999836534,18.40273500001058,18.90995500003919,19.648254999890924,20.87086999975145,21.45003499975428,22.57268500002101,22.803425000049174,23.267219999805093,23.935374999884516,25.119334999937564,25.447414999827743]",0,10,No points scored,13,0,13,0,1,8266973107554906378,,SymbolicViewB,2020.1.3,Win32,1349444079913824525,-6802970338445676492,60
