,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""right"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]","[1.6499999999999915,1.9519999999999982,3.4650000000000034,4.611000000000004,4.912999999999997,5.147999999999996,6.2450000000000045,6.444999999999993,6.614000000000004,6.792999999999992,7.8799999999999955,8.11,8.328999999999994,8.524000000000001,8.674999999999997,8.876000000000005,9.043999999999997,9.225999999999999,12.138000000000005,12.620000000000005,13.420999999999992]",25,7,captured pig,3,0,3,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
4,"[""right"",""right"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""left""]","[1.8979999999999961,2.4470000000000027,3.7820000000000107,3.966000000000008,4.1510000000000105,4.400000000000006,5.347000000000008,6.846000000000004,7.2250000000000085,7.659000000000006,8.460000000000022]",25,21,captured pig,4,0,4,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
5,"[""left"",""left"",""left"",""left"",""left""]","[1.3799999999999955,1.7659999999999911,2.382000000000005,3.6670000000000016,5.063999999999993]",25,42,captured pig,5,0,5,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
6,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""down"",""down"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""down"",""down""]","[1.417999999999978,4.5,4.967999999999989,5.383999999999986,7.197999999999979,9.843999999999994,12.227000000000004,14.175999999999988,14.923000000000002,16.103999999999985,17.917999999999978,18.385999999999996,18.77199999999999,27.275999999999982,29.12699999999998,30.573999999999984,30.776999999999987,32.222999999999985,34.335999999999984,35.018,36.105999999999995,36.502999999999986,36.66899999999998,39.93199999999999,40.43099999999998]",25,43,captured pig,6,0,6,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
8,"[""left"",""left"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left"",""down""]","[1.8480000000000132,2.3310000000000173,3.0800000000000125,3.5630000000000166,6.810000000000002,8.044000000000011,8.747000000000014,11.756,12.222000000000008,12.640000000000015,14.007000000000005]",25,69,captured pig,8,0,8,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
9,"[""right"",""right"",""down"",""left"",""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down""]","[1.3449999999999989,1.8239999999999839,3.4960000000000093,5.045999999999992,5.50800000000001,5.680000000000007,6.758999999999986,6.925999999999988,7.106999999999999,8.439999999999998,8.62299999999999,8.806999999999988,9.00800000000001,10.455999999999989,10.62299999999999,10.789999999999992,10.971000000000004,11.152999999999992,11.638000000000005,11.820999999999998,11.996999999999986,12.146999999999991,12.322000000000003]",25,77,captured pig,9,0,9,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
10,"[""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right""]","[1.372000000000014,1.5640000000000214,1.899000000000001,2.5360000000000014,4.396000000000015,5.929000000000002,6.676000000000016,7.225999999999999,11.440000000000026,12.825000000000017,13.870000000000033,15.568000000000012,16.037000000000006,16.554000000000002,17.924000000000007,18.44500000000002,20.582000000000022,20.74600000000001,21.130000000000024,24.094000000000023,25.479000000000013,26.260999999999996,28.39900000000003,28.70599999999999,30.236999999999995,30.924000000000007]",0,52,No points scored,10,0,10,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
11,"[""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down""]","[1.5550000000000068,2.2029999999999745,3.430000000000007,4.286000000000001,4.500999999999976,7.324000000000012,7.558999999999969,7.997000000000014,9.5,9.742999999999995,10.351999999999975,10.574999999999989,11.475999999999999,11.642999999999972,12.043000000000006,12.211999999999989,12.385999999999967,12.536999999999978,12.942999999999984,15.687999999999988,16.10499999999996,17.93599999999998,18.389999999999986,18.668000000000006,18.851,19.053999999999974,19.25200000000001,19.437999999999988,19.62099999999998,19.817999999999984,20.17500000000001]",25,62,captured pig,11,0,11,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
12,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.3129999999999882,1.6499999999999773,2.748999999999967,2.960999999999956,3.565999999999974,4.013999999999953,4.450999999999965,4.6299999999999955,4.812999999999988,6.911999999999978,7.774000000000001,8.327999999999975,10.376999999999953,11.263999999999953,13.602999999999952,15.555000000000007,15.738,15.97199999999998,16.561999999999955,17.201999999999998,17.887999999999977]",25,70,captured pig,12,0,12,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
13,"[""left"",""right"",""right"",""right"",""down"",""down"",""down""]","[1.718999999999994,3.1829999999999927,3.5860000000000127,3.9839999999999804,5.226999999999975,5.34699999999998,6.048999999999978]",25,88,captured pig,13,0,13,0,1,-453665743172421977,,SymbolicViewB,2020.1.3,Win32,-453665743172421977,5963500705101886790,60
