,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""right"",""right"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""up""]","[0.8504549999488518,2.0782199999666773,3.2409999999799766,5.294804999954067,5.561974999960512,7.538899999985006,11.660849999985658,19.99469500000123,20.293004999984987,20.294279999972787,20.60146499995608,21.035559999989346,21.483374999952503,21.619474999955855,22.076739999989513,23.11773999995785,24.108444999961648,27.49594499997329,29.95812499994645,30.95730499998899]",25,8,captured pig,3,0,3,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
4,"[""left"",""left"",""down"",""down"",""down"",""down"",""down""]","[2.355920000001788,3.102759999979753,3.8085299999802373,3.981644999992568,4.166945000004489,4.364974999974947,13.011330000008456]",25,28,captured pig,4,0,4,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
5,"[""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up""]","[3.3088549999520183,3.5422299999627285,3.916274999966845,4.5857799999648705,5.435284999955911,5.435794999997597,10.843769999977667,18.68206999998074,20.236809999973048,25.490669999970123,26.036309999995865,30.885204999998678,31.106929999950808,31.3389099999913,31.510914999991655,32.06725500000175,32.28931500000181,32.932349999959115,33.146184999961406,33.305209999962244,33.47536499996204,34.27669999998761,37.19724499998847,39.25978999998188,52.089724999968894,52.33116499998141,53.120739999983925,57.582779999997,57.85229499998968,58.032044999999925,58.2871799999848,58.288159999996424]",0,3,No points scored,5,0,5,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
6,"[""up"",""right"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up""]","[-3.5084599999827333,2.0135250000166707,2.938620000029914,3.2308450000127777,8.742885000014212,9.566099999996368,9.56683999998495,9.977554999990389,10.467490000010002,12.93368499999633,12.934415000025183,15.218255000014324,15.791214999975637,17.23837999999523,17.646290000004228,18.69224000000395,25.424569999973755,25.425479999976233,25.920449999975972,25.92090999998618,25.921235000016168,28.66492000001017]",25,12,captured pig,6,0,6,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
8,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""right"",""right"",""up""]","[1.7927649999619462,2.8952149999677204,4.965094999992289,6.914939999987837,22.07835999998497,22.07932499999879,22.079644999990705,22.079870000015944,22.573540000012144,23.877555000013672,23.877819999994244,24.838715000019874,25.221205000008922,26.842654999985825,29.09155999997165,33.61875500000315,40.01302999997279,41.995114999997895]",25,10,captured pig,8,0,8,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
9,"[""left"",""right"",""right"",""right"",""down"",""down"",""up"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right""]","[0.9965550000197254,3.2066950000007637,3.582550000050105,3.823450000025332,4.800300000002608,7.209350000019185,9.877110000001267,10.195630000031088,10.489960000035353,11.398450000036974,11.593420000048354,12.016765000007581,12.273240000009537,12.462935000017751,12.904515000001993,13.109485000022687,13.274025000049733,13.472335000056773,13.628235000011045,14.061444999999367,15.46784000005573]",25,14,captured pig,9,0,9,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
10,"[""right"",""right"",""right"",""down"",""down"",""down""]","[0.8345450000488199,4.000370000023395,4.26003500004299,4.620470000023488,5.5175250000320375,5.720085000037216]",25,34,captured pig,10,0,10,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
11,"[""left"",""left"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""left"",""left""]","[1.4550450000097044,1.9819900000002235,2.539329999999609,3.051800000015646,6.415474999987055,6.8551350000198,8.05534500000067,9.165014999976847,10.752664999978151,10.96772499999497,12.289059999980964,13.063755000010133]",25,48,captured pig,11,0,11,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
12,"[""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""down"",""down"",""up"",""down"",""down""]","[1.787175000004936,2.474400000006426,5.463434999983292,7.80427000002237,11.407810000004247,17.03390500001842,17.28474000003189,21.236960000009276,23.029589999991003,23.58857000002172,34.095435000024736,35.441969999985304,36.98356500000227,39.105790000001434,39.5289150000317,39.52925000002142,39.52941000001738,42.10330499999691,42.36620500002755,49.41229000000749,50.569250000000466,77.27355500002159,83.04042500001378,84.14774500002386,85.51828499999829]",25,52,captured pig,12,0,12,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
13,"[""left"",""left"",""left"",""right"",""right"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""left"",""up"",""up"",""up""]","[8.685210000025108,10.037584999983665,12.272245000000112,14.819145000015851,14.820089999993797,17.317099999985658,17.31776499998523,17.83376499998849,17.834344999981113,19.793524999986403,20.253049999999348,20.253700000001118,20.253949999983888,20.54710999998497,20.547930000000633,23.60301999998046,23.60376000002725,31.707999999984168,32.45598000002792,35.2005750000244,47.09179000003496,50.10524499998428,52.55020500003593,52.76566500001354,53.9723000000231,54.2755050000269,55.99543000000995]",0,27,No points scored,13,0,13,0,1,-6412557523832006353,,SymbolicViewB,2020.1.3,Win32,608993210216473250,-3293903390251248041,60
