,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""down"",""down"",""right"",""right"",""left"",""up"",""right"",""up"",""right"",""right"",""up"",""up"",""down"",""up"",""up"",""up""]","[0.7723150000092573,1.0393099999637343,1.6498000000137836,1.8394100000150502,2.0195049999747425,2.6514750000205822,3.0435099999886006,3.350574999989476,4.233264999988023,4.43966500001261,4.7762799999909475,5.103759999969043,5.2999650000128895,5.533244999998715,5.899999999965075,7.000049999973271,8.458204999973532,9.527405000000726,13.144419999967795,13.333764999988489]",25,8,captured pig,3,0,3,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
4,"[""left"",""left"",""down"",""down"",""down"",""down"",""right"",""down"",""down"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""down"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left""]","[0.8076050000381656,2.2432649999973364,2.6960800000233576,3.0347400000318885,3.2591600000159815,3.4013450000202283,3.88466999999946,4.18480000004638,4.442245000042021,4.709260000032373,4.937280000012834,5.151405000011437,5.388360000040848,6.095460000040475,11.944360000023153,14.575595000002068,21.563230000028852,23.261125000019092,24.51906500000041,24.752529999997932,25.119100000010803,25.7191650000168,26.07202000002144,27.339165000012144,28.774315000046045]",25,9,captured pig,4,0,4,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
5,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""up"",""left"",""up"",""up"",""up""]","[3.435165000031702,5.414685000025202,8.935060000047088,14.78598000004422,26.234375,26.602600000042003,27.161000000021886,27.618225000042003,28.135680000006687,29.351615000050515,29.768704999994952,29.93423499999335,31.318350000015926]",25,21,captured pig,5,0,5,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
6,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""down""]","[4.669914999976754,6.700019999989308,9.265145000012126,9.6188700000057,17.83408000000054,18.14899499999592,18.635039999964647,21.885955000005197,22.88491999998223]",25,37,captured pig,6,0,6,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
8,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down""]","[7.567790000000969,17.109914999979082,17.46256999997422,17.922019999998156,18.290440000011586,18.655495000013616,19.00254000001587,19.21772499999497,19.954130000027362]",25,47,captured pig,8,0,8,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
9,"[""left"",""left"",""left""]","[2.119554999982938,2.267900000035297,2.7506500000017695]",25,69,captured pig,9,0,9,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
10,"[""left"",""left"",""left"",""left""]","[1.6054249999579042,2.888344999984838,3.0168399999965914,3.1583849999587983]",25,90,captured pig,10,0,10,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
11,"[""left"",""left"",""left"",""left"",""left""]","[7.309670000046026,9.699465000012424,10.308485000045039,10.443250000011176,12.132385000004433]",25,112,captured pig,11,0,11,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
12,"[""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[3.8827199999941513,4.051979999989271,4.207974999968428,5.168145000003278,5.305144999991171,6.361259999976028,8.517609999980778,8.751619999995455]",25,133,captured pig,12,0,12,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
13,"[""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down""]","[2.3358599999919534,2.5180449999752454,2.7400650000199676,2.862444999977015,3.0191950000007637,3.163360000005923,3.6292399999802,3.821189999987837]",25,152,captured pig,13,0,13,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
14,"[""left"",""down"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left""]","[5.969775000005029,6.168279999983497,6.385054999962449,6.5846249999594875,6.734635000000708,9.268839999975171,14.66946000000462,19.987495000008494,20.132839999976568,20.61881999997422,20.76879999996163,20.90240999998059,21.05216500000097,21.202499999955762,21.335909999965224,22.21623499999987,22.368610000004992,23.152539999980945,23.419070000003558]",25,162,captured pig,14,0,14,0,1,-8193973374504620967,,SymbolicViewB,2020.1.3,Win32,-1276444346863539114,-5622148047688124043,60
