,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""down"",""down"",""down"",""down"",""right"",""down"",""down"",""left"",""left""]","[1.915084999985993,2.4064499999803957,3.547835000004852,4.309294999984559,4.98983499998576,6.195860000007087,6.791475000005448,8.875440000003437,9.379679999983637,9.779264999990119,10.152249999984633]",25,14,captured pig,3,0,3,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
4,"[""left"",""left"",""down"",""down"",""down"",""down""]","[1.4773549999808893,2.020134999998845,2.3782849999843165,2.6085449999955017,2.995230000000447,9.96583999998984]",25,34,captured pig,4,0,4,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
5,"[""left"",""left"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""left"",""down"",""down"",""left"",""left""]","[0.7699000000138767,1.0165299999935087,1.7315999999991618,2.282085000013467,3.150005000003148,3.7638999999908265,4.197660000005271,7.383540000009816,7.763345000013942,9.481295000005048,10.463049999991199,11.039510000002338,12.518979999993462,14.906844999990426]",25,46,captured pig,5,0,5,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
6,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""right"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""up"",""up"",""up""]","[0.9717349999991711,1.4087149999977555,3.8681150000193156,4.4030849999981,5.313844999996945,6.237335000012536,6.776540000020759,7.355440000013914,7.877074999996694,8.821695000020554,9.408320000016829,10.520120000001043,16.104655000002822,18.79049000001396,19.62454499999876,21.951715000002878,22.726720000006026,23.239475000009406,23.56055500000366,23.831304999999702,24.686485000012908,24.958199999993667,25.533064999995986,26.72527500000433,26.891685000009602,27.041705000010552]",0,21,No points scored,6,0,6,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
8,"[""left"",""left"",""down"",""down"",""down"",""down"",""right"",""up"",""up"",""right"",""right"",""right""]","[0.8794399999896996,1.183164999994915,1.7201899999927264,1.9923150000104215,2.4424350000044797,2.831789999996545,4.870839999988675,5.209665000002133,5.564875000010943,5.865669999999227,6.113474999991013,6.333610000001499]",25,49,captured pig,8,0,8,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
9,"[""left"",""left"",""down"",""down"",""up"",""up"",""down"",""down"",""down"",""down"",""right"",""up"",""up"",""up"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""right"",""down"",""right"",""right"",""left""]","[1.1220099999918602,1.8007499999948777,2.5410849999752827,2.884284999978263,3.7696149999974295,4.79887499997858,5.403049999993527,6.681154999998398,7.0617050000000745,7.464424999983748,10.00408499999321,10.304389999975683,10.56583999999566,10.784224999981234,11.03244499998982,11.232120000000577,11.465765000000829,12.33776999998372,12.565279999980703,12.768349999998463,12.970274999999674,13.40966499998467,13.831529999995837,14.083709999977145,14.304119999986142,14.571369999990566,14.904334999999264,15.217664999974659,15.402719999983674,15.750094999995781]",0,24,No points scored,9,0,9,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
10,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]","[1.2373899999947753,1.5633799999777693,2.2379949999740347,3.0377649999863934,3.4385649999894667,5.200369999976829,6.03538999997545,6.988484999979846,7.695349999994505,8.132944999990286,16.786994999973103]",25,39,captured pig,10,0,10,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
11,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""down"",""down"",""down"",""left""]","[1.045410000020638,1.8805450000218116,2.293660000024829,2.7728400000196416,4.078205000027083,5.364865000010468,6.915580000000773,7.252075000025798,12.283825000020443,12.700230000016745,13.47555500001181,13.74695500000962,15.382700000016484,15.814240000006976,19.68249500001548,20.2428100000252,20.68381500002579,21.05154000001494,21.35004500002833,21.717780000006314,22.52557500000694]",25,48,captured pig,11,0,11,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
12,"[""down"",""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""left""]","[0.7220700000179932,1.7049800000095274,2.0903500000131316,2.488725000002887,2.9376800000027288,4.787895000015851,5.457085000001825,5.822790000005625,6.122590000013588,6.894860000000335,7.222550000005867,7.445195000007516,7.7060399999900255,7.989070000010543,8.49404499999946,8.722230000013951,8.92170000000624,9.544395000004442]",25,57,captured pig,12,0,12,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
13,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""right"",""right"",""left"",""left"",""right"",""right"",""right"",""down""]","[1.118739999976242,1.8659199999819975,2.186229999992065,2.8814799999818206,3.5173999999824446,5.04742499999702,7.1021749999781605,7.883384999993723,8.18403499998385,8.900534999993397,9.333354999980656,9.749344999989262,11.620914999977686,13.966714999987744,14.195809999975609,14.502129999978933,15.1801249999844,15.451074999989942,15.740154999977676,16.402464999991935,17.11298999999417,18.29749999998603,18.6845649999741,19.346609999978682,20.02224500000011,20.718064999993658,21.334619999979623]",0,32,No points scored,13,0,13,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
14,"[""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down""]","[0.9466799999936484,1.2514549999905284,1.503049999999348,1.696974999998929,2.0021100000012666,2.2332400000013877,2.4799650000059046,2.668485000001965,2.80170999999973]",25,50,captured pig,14,0,14,0,1,-7868030324266798049,,SymbolicViewB,2020.1.3,MacIntel,-950501296625716196,-1479095380397089789,60
