,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""down""]","[2.2412650000769645,3.290095000062138,4.822750000050291,5.356924999970943,7.246975000016391,8.836089999997057,9.704935000045225,10.923060000059195,14.053124999976717,17.784685000078753,19.056674999999814,19.82248500001151,20.304675000021234]",25,14,captured pig,3,0,3,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
4,"[""left"",""left"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""down"",""left"",""left"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up""]","[1.9764800000702962,2.555900000035763,3.987260000081733,4.9354049999965355,5.4090500000165775,5.932815000065602,6.673350000055507,7.119829999981448,8.686809999984689,9.974660000065342,11.178990000043996,12.029244999983348,15.09738000005018,17.869920000084676,19.134300000034273,19.608145000063814,20.759690000093542,21.31180999998469,21.87277500005439,22.819925000076182,23.10999999998603,24.720000000088476,25.38332999998238,27.732829999993555,28.47836000006646,30.785745000001043,33.35899000009522,35.17660000000615,35.740915000089444,37.19885000004433]",0,-11,No points scored,4,0,4,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
5,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left""]","[2.971669999998994,4.607324999989942,5.506915000034496,5.965420000022277,7.281615000101738,7.744805000023916,8.257660000002943,8.79790000000503]",25,6,captured pig,5,0,5,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
6,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]","[2.3449049999471754,2.924864999949932,5.098464999930002,5.561284999945201,7.579164999886416,8.31320999993477,9.519674999988638,12.460969999898225,14.058034999994561,15.02616999996826,15.58949499996379,17.88670499995351]",25,21,captured pig,6,0,6,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
8,"[""right"",""right"",""down"",""down"",""down"",""left"",""down"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right""]","[1.5502049999777228,2.0972700000274926,4.452919999952428,7.129190000006929,9.148574999999255,12.629569999990053,13.310219999984838,13.79344499995932,15.369515000027604,15.986275000032037,17.211089999997057,18.329834999982268,19.46869499993045,20.47412000002805,21.45307499996852,22.02285499998834,24.558639999944717,25.776089999941178,26.30858499999158,26.86786499992013,28.128204999957234,28.52064000000246,29.65411000000313,30.421224999940023,31.872974999947473,32.94349500001408,35.996380000025965,36.398434999980964,36.8716349999886,38.49265999998897,39.544430000009015]",25,20,captured pig,8,0,8,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
9,"[""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up""]","[2.046734999981709,2.5959299999522045,4.865214999997988,5.394074999960139,6.028300000005402,6.625385000021197,7.525084999972023,8.037325000041164,9.173704999964684,9.990615000016987,10.47542000003159,11.888365000020713,13.152179999975488,13.596679999958724,14.373565000016242,15.108039999962784,15.55011499999091,16.397585000027902,16.85372500005178,17.4493449999718,19.74733499996364,21.106404999969527,22.50921000004746,23.55389500001911,24.051145000034012,24.516595000051893,26.339395000017248]",0,-5,No points scored,9,0,9,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
10,"[""left"",""left"",""down"",""down"",""down""]","[1.8214999999618158,2.314364999998361,2.8766399999149144,3.170545000000857,3.663979999953881]",25,15,captured pig,10,0,10,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
11,"[""left"",""left"",""right"",""right"",""down"",""down"",""down"",""down"",""right"",""down"",""right"",""right"",""left"",""left"",""left"",""down"",""down"",""down"",""left"",""left"",""left"",""up""]","[1.22941000002902,1.9493300000904128,3.482245000079274,3.983349999994971,4.7700250000925735,5.467449999996461,6.6998650000896305,7.292940000072122,8.908020000089891,9.98373000009451,10.947350000031292,11.34601500001736,12.984885000041686,13.573080000001937,14.137655000085942,15.613360000075772,16.713685000082478,17.03817000007257,17.50157500000205,18.913815000094473,22.605949999997392,22.949729999992996]",25,20,captured pig,11,0,11,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
12,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left""]","[2.2279100000159815,2.6571850000182167,3.760630000033416,4.100334999966435,4.790054999990389,6.2739849999779835,6.864910000003874,8.970729999942705,9.71207999996841,10.613045000005513,12.592730000033043,13.144659999990836]",25,34,captured pig,12,0,12,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
13,"[""left"",""left"",""down"",""down"",""right"",""up"",""up"",""right"",""right"",""right"",""down"",""left"",""up""]","[2.48664000001736,3.754175000009127,5.6328600000124425,6.257274999981746,8.194870000006631,10.086125000030734,10.750555000035092,11.262319999979809,11.717255000025034,12.07363500003703,12.606445000041276,14.428180000046268,18.750645000021905]",25,46,captured pig,13,0,13,0,1,808834748317565194,,SymbolicViewB,2020.1.3,Win32,808834748317565194,-6211782284785032990,60
